token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
18r,29,1,29,8,21,1.0,0.27586206896551724,0.7241379310344828
flaps,27,1,14,2,12,0.5185185185185185,0.07407407407407407,0.4444444444444444
runway,44,1,17,5,12,0.38636363636363635,0.11363636363636363,0.2727272727272727
alt,11,0,11,0,11,1.0,0.0,1.0
sight,13,0,13,3,10,1.0,0.23076923076923078,0.7692307692307692
landing,31,1,17,7,10,0.5483870967741935,0.22580645161290322,0.32258064516129026
in,14,0,12,3,9,0.8571428571428571,0.21428571428571427,0.6428571428571428
hold,11,0,8,0,8,0.7272727272727273,0.0,0.7272727272727273
sel,8,0,8,1,7,1.0,0.125,0.875
downwind,14,1,7,1,6,0.5,0.07142857142857142,0.4285714285714286
30,27,1,7,1,6,0.25925925925925924,0.037037037037037035,0.2222222222222222
speedbrakes,5,0,5,0,5,1.0,0.0,1.0
speedbrake,6,1,6,1,5,1.0,0.16666666666666666,0.8333333333333334
ab18r,10,1,10,5,5,1.0,0.5,0.5
approach,4,0,4,0,4,1.0,0.0,1.0
papi,4,0,4,0,4,1.0,0.0,1.0
checklist,15,1,8,4,4,0.5333333333333333,0.26666666666666666,0.26666666666666666
route,21,1,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047
at,7,0,4,1,3,0.5714285714285714,0.14285714285714285,0.42857142857142855
joining,14,0,5,2,3,0.35714285714285715,0.14285714285714285,0.2142857142857143
to,17,0,5,2,3,0.29411764705882354,0.11764705882352941,0.17647058823529413
check,30,1,4,1,3,0.13333333333333333,0.03333333333333333,0.1
2,32,1,14,11,3,0.4375,0.34375,0.09375
wrong,2,0,2,0,2,1.0,0.0,1.0
high,5,1,2,0,2,0.4,0.0,0.4
land,7,0,3,1,2,0.42857142857142855,0.14285714285714285,0.2857142857142857
line,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
lnav,7,1,7,5,2,1.0,0.7142857142857143,0.2857142857142857
heading,8,1,3,1,2,0.375,0.125,0.25
busan,12,1,3,1,2,0.25,0.08333333333333333,0.16666666666666669
