token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
and,12,0,0,2,-2,0.0,0.16666666666666666,-0.16666666666666666
singapore,17,1,1,3,-2,0.058823529411764705,0.17647058823529413,-0.11764705882352942
8r,1,0,0,1,-1,0.0,1.0,-1.0
add,1,0,0,1,-1,0.0,1.0,-1.0
low,1,0,0,1,-1,0.0,1.0,-1.0
pitch,1,1,0,1,-1,0.0,1.0,-1.0
two,1,0,0,1,-1,0.0,1.0,-1.0
yes,1,0,0,1,-1,0.0,1.0,-1.0
950,2,0,0,1,-1,0.0,0.5,-0.5
bit,2,0,0,1,-1,0.0,0.5,-0.5
red,2,0,1,2,-1,0.5,1.0,-0.5
60,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
a,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
clear,4,0,3,4,-1,0.75,1.0,-0.25
cycling,4,0,0,1,-1,0.0,0.25,-0.25
obtain,8,1,5,6,-1,0.625,0.75,-0.125
6000,9,0,0,1,-1,0.0,0.1111111111111111,-0.1111111111111111
exterior,9,1,2,3,-1,0.2222222222222222,0.3333333333333333,-0.1111111111111111
feet,11,0,1,2,-1,0.09090909090909091,0.18181818181818182,-0.09090909090909091
roger,42,1,0,0,0,0.0,0.0,0.0
616,16,1,3,3,0,0.1875,0.1875,0.0
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
execute,14,0,1,1,0,0.07142857142857142,0.07142857142857142,0.0
activated,11,1,1,1,0,0.09090909090909091,0.09090909090909091,0.0
is,10,0,2,2,0,0.2,0.2,0.0
control,9,0,0,0,0,0.0,0.0,0.0
down,9,0,1,1,0,0.1111111111111111,0.1111111111111111,0.0
am,8,0,0,0,0,0.0,0.0,0.0
gear,8,1,1,1,0,0.125,0.125,0.0
