token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
18r,29,1,29,2,27,1.0,0.06896551724137931,0.9310344827586207
flaps,27,1,14,1,13,0.5185185185185185,0.037037037037037035,0.48148148148148145
runway,44,1,17,5,12,0.38636363636363635,0.11363636363636363,0.2727272727272727
landing,31,1,17,7,10,0.5483870967741935,0.22580645161290322,0.32258064516129026
sight,13,0,13,5,8,1.0,0.38461538461538464,0.6153846153846154
in,14,0,12,5,7,0.8571428571428571,0.35714285714285715,0.49999999999999994
ab18r,10,1,10,4,6,1.0,0.4,0.6
30,27,1,7,2,5,0.25925925925925924,0.07407407407407407,0.18518518518518517
approach,4,0,4,0,4,1.0,0.0,1.0
at,7,0,4,0,4,0.5714285714285714,0.0,0.5714285714285714
checklist,15,1,8,4,4,0.5333333333333333,0.26666666666666666,0.26666666666666666
route,21,1,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047
lnav,7,1,7,4,3,1.0,0.5714285714285714,0.4285714285714286
hold,11,0,8,5,3,0.7272727272727273,0.45454545454545453,0.27272727272727276
alt,11,0,11,8,3,1.0,0.7272727272727273,0.2727272727272727
joining,14,0,5,2,3,0.35714285714285715,0.14285714285714285,0.2142857142857143
616,16,1,3,0,3,0.1875,0.0,0.1875
to,17,0,5,2,3,0.29411764705882354,0.11764705882352941,0.17647058823529413
check,30,1,4,1,3,0.13333333333333333,0.03333333333333333,0.1
2,32,1,14,11,3,0.4375,0.34375,0.09375
wrong,2,0,2,0,2,1.0,0.0,1.0
papi,4,0,4,2,2,1.0,0.5,0.5
high,5,1,2,0,2,0.4,0.0,0.4
land,7,0,3,1,2,0.42857142857142855,0.14285714285714285,0.2857142857142857
line,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
tower,12,1,3,1,2,0.25,0.08333333333333333,0.16666666666666669
downwind,14,1,7,5,2,0.5,0.35714285714285715,0.14285714285714285
all,1,0,1,0,1,1.0,0.0,1.0
armed,1,0,1,0,1,1.0,0.0,1.0
autopilot,1,1,1,0,1,1.0,0.0,1.0
