token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
18r,29,1,29,2,27,1.0,0.06896551724137931,0.9310344827586207
flaps,27,1,14,1,13,0.5185185185185185,0.037037037037037035,0.48148148148148145
runway,44,1,17,5,12,0.38636363636363635,0.11363636363636363,0.2727272727272727
landing,31,1,17,7,10,0.5483870967741935,0.22580645161290322,0.32258064516129026
sight,13,0,13,5,8,1.0,0.38461538461538464,0.6153846153846154
in,14,0,12,5,7,0.8571428571428571,0.35714285714285715,0.49999999999999994
ab18r,10,1,10,4,6,1.0,0.4,0.6
30,27,1,7,2,5,0.25925925925925924,0.07407407407407407,0.18518518518518517
approach,4,0,4,0,4,1.0,0.0,1.0
at,7,0,4,0,4,0.5714285714285714,0.0,0.5714285714285714
checklist,15,1,8,4,4,0.5333333333333333,0.26666666666666666,0.26666666666666666
route,21,1,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047
lnav,7,1,7,4,3,1.0,0.5714285714285714,0.4285714285714286
hold,11,0,8,5,3,0.7272727272727273,0.45454545454545453,0.27272727272727276
alt,11,0,11,8,3,1.0,0.7272727272727273,0.2727272727272727
joining,14,0,5,2,3,0.35714285714285715,0.14285714285714285,0.2142857142857143
616,16,1,3,0,3,0.1875,0.0,0.1875
to,17,0,5,2,3,0.29411764705882354,0.11764705882352941,0.17647058823529413
check,30,1,4,1,3,0.13333333333333333,0.03333333333333333,0.1
2,32,1,14,11,3,0.4375,0.34375,0.09375
wrong,2,0,2,0,2,1.0,0.0,1.0
papi,4,0,4,2,2,1.0,0.5,0.5
high,5,1,2,0,2,0.4,0.0,0.4
land,7,0,3,1,2,0.42857142857142855,0.14285714285714285,0.2857142857142857
line,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
tower,12,1,3,1,2,0.25,0.08333333333333333,0.16666666666666669
downwind,14,1,7,5,2,0.5,0.35714285714285715,0.14285714285714285
all,1,0,1,0,1,1.0,0.0,1.0
armed,1,0,1,0,1,1.0,0.0,1.0
autopilot,1,1,1,0,1,1.0,0.0,1.0
bctl2,1,0,1,0,1,1.0,0.0,1.0
bctl3,1,0,1,0,1,1.0,0.0,1.0
bctl4,1,0,1,0,1,1.0,0.0,1.0
good,1,0,1,0,1,1.0,0.0,1.0
tailwind,1,0,1,0,1,1.0,0.0,1.0
1200,2,0,1,0,1,0.5,0.0,0.5
around,2,0,1,0,1,0.5,0.0,0.5
disarmed,2,0,2,1,1,1.0,0.5,0.5
final,2,0,1,0,1,0.5,0.0,0.5
missed,2,0,2,1,1,1.0,0.5,0.5
speedbreak,2,0,2,1,1,1.0,0.5,0.5
autobrake,3,0,3,2,1,1.0,0.6666666666666666,0.33333333333333337
cap,3,0,2,1,1,0.6666666666666666,0.3333333333333333,0.3333333333333333
we,4,0,1,0,1,0.25,0.0,0.25
speed,5,0,1,0,1,0.2,0.0,0.2
700,7,1,1,0,1,0.14285714285714285,0.0,0.14285714285714285
below,7,1,2,1,1,0.2857142857142857,0.14285714285714285,0.14285714285714285
complete,7,0,1,0,1,0.14285714285714285,0.0,0.14285714285714285
are,8,0,1,0,1,0.125,0.0,0.125
down,9,0,1,0,1,0.1111111111111111,0.0,0.1111111111111111
direct,10,1,1,0,1,0.1,0.0,0.1
whites,10,1,2,1,1,0.2,0.1,0.1
activated,11,1,1,0,1,0.09090909090909091,0.0,0.09090909090909091
busan,12,1,3,2,1,0.25,0.16666666666666666,0.08333333333333334
captain,12,1,1,0,1,0.08333333333333333,0.0,0.08333333333333333
lights,12,0,4,3,1,0.3333333333333333,0.25,0.08333333333333331
vs,13,0,4,3,1,0.3076923076923077,0.23076923076923078,0.07692307692307693
execute,14,0,1,0,1,0.07142857142857142,0.0,0.07142857142857142
singapore,17,1,1,0,1,0.058823529411764705,0.0,0.058823529411764705
confirm,24,0,1,0,1,0.041666666666666664,0.0,0.041666666666666664
roger,42,1,0,0,0,0.0,0.0,0.0
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
the,16,0,3,3,0,0.1875,0.1875,0.0
is,10,0,2,2,0,0.2,0.2,0.0
control,9,0,0,0,0,0.0,0.0,0.0
am,8,0,0,0,0,0.0,0.0,0.0
gear,8,1,1,1,0,0.125,0.125,0.0
have,8,0,0,0,0,0.0,0.0,0.0
heading,8,1,3,3,0,0.375,0.375,0.0
sel,8,0,8,8,0,1.0,1.0,0.0
checked,7,0,0,0,0,0.0,0.0,0.0
clearance,7,1,0,0,0,0.0,0.0,0.0
ready,7,0,0,0,0,0.0,0.0,0.0
speedbrake,6,1,6,6,0,1.0,1.0,0.0
stabilized,6,0,0,0,0,0.0,0.0,0.0
activate,5,1,1,1,0,0.2,0.2,0.0
available,5,1,0,0,0,0.0,0.0,0.0
go,5,0,0,0,0,0.0,0.0,0.0
speedbrakes,5,0,5,5,0,1.0,1.0,0.0
you,5,0,0,0,0,0.0,0.0,0.0
4,4,0,1,1,0,0.25,0.25,0.0
altitude,4,1,2,2,0,0.5,0.5,0.0
knots,4,0,1,1,0,0.25,0.25,0.0
reds,4,0,0,0,0,0.0,0.0,0.0
speedbreaks,4,0,4,4,0,1.0,1.0,0.0
up,4,0,0,0,0,0.0,0.0,0.0
a,3,0,0,0,0,0.0,0.0,0.0
legs,3,0,2,2,0,0.6666666666666666,0.6666666666666666,0.0
normal,3,0,0,0,0,0.0,0.0,0.0
reversers,3,0,3,3,0,1.0,1.0,0.0
950,2,0,0,0,0,0.0,0.0,0.0
altimeters,2,0,0,0,0,0.0,0.0,0.0
bit,2,0,0,0,0,0.0,0.0,0.0
fix,2,0,1,1,0,0.5,0.5,0.0
profile,2,0,0,0,0,0.0,0.0,0.0
target,2,0,0,0,0,0.0,0.0,0.0
thousand,2,0,2,2,0,1.0,1.0,0.0
waybi,2,0,2,2,0,1.0,1.0,0.0
10,1,0,0,0,0,0.0,0.0,0.0
450,1,0,0,0,0,0.0,0.0,0.0
500,1,0,0,0,0,0.0,0.0,0.0
8616,1,0,0,0,0,0.0,0.0,0.0
activating,1,0,0,0,0,0.0,0.0,0.0
again,1,0,0,0,0,0.0,0.0,0.0
circling,1,0,0,0,0,0.0,0.0,0.0
cleared,1,0,0,0,0,0.0,0.0,0.0
clearence,1,0,1,1,0,1.0,1.0,0.0
comfirm,1,0,1,1,0,1.0,1.0,0.0
different,1,0,0,0,0,0.0,0.0,0.0
directors,1,0,0,0,0,0.0,0.0,0.0
disarm,1,0,0,0,0,0.0,0.0,0.0
disregard,1,0,0,0,0,0.0,0.0,0.0
during,1,0,0,0,0,0.0,0.0,0.0
flap,1,0,1,1,0,1.0,1.0,0.0
flight,1,0,0,0,0,0.0,0.0,0.0
fly,1,0,0,0,0,0.0,0.0,0.0
join,1,0,0,0,0,0.0,0.0,0.0
later,1,0,0,0,0,0.0,0.0,0.0
like,1,0,0,0,0,0.0,0.0,0.0
may,1,0,1,1,0,1.0,1.0,0.0
mcp,1,0,0,0,0,0.0,0.0,0.0
minus,1,0,1,1,0,1.0,1.0,0.0
next,1,0,0,0,0,0.0,0.0,0.0
not,1,0,0,0,0,0.0,0.0,0.0
obtained,1,1,1,1,0,1.0,1.0,0.0
passing,1,0,0,0,0,0.0,0.0,0.0
pretty,1,0,0,0,0,0.0,0.0,0.0
recycle,1,0,1,1,0,1.0,1.0,0.0
recycled,1,0,0,0,0,0.0,0.0,0.0
recycling,1,0,0,0,0,0.0,0.0,0.0
right,1,0,1,1,0,1.0,1.0,0.0
run,1,0,0,0,0,0.0,0.0,0.0
say,1,0,0,0,0,0.0,0.0,0.0
seven,1,0,1,1,0,1.0,1.0,0.0
sir,1,0,0,0,0,0.0,0.0,0.0
sorry,1,0,0,0,0,0.0,0.0,0.0
stabilize,1,0,0,0,0,0.0,0.0,0.0
stablized,1,0,1,1,0,1.0,1.0,0.0
standby,1,0,0,0,0,0.0,0.0,0.0
strong,1,0,0,0,0,0.0,0.0,0.0
supposed,1,0,0,0,0,0.0,0.0,0.0
that,1,0,0,0,0,0.0,0.0,0.0
this,1,0,0,0,0,0.0,0.0,0.0
two,1,0,0,0,0,0.0,0.0,0.0
visual,1,0,0,0,0,0.0,0.0,0.0
vs700,1,0,1,1,0,1.0,1.0,0.0
was,1,0,0,0,0,0.0,0.0,0.0
with,1,0,0,0,0,0.0,0.0,0.0
would,1,0,0,0,0,0.0,0.0,0.0
yes,1,0,0,0,0,0.0,0.0,0.0
and,12,0,0,1,-1,0.0,0.08333333333333333,-0.08333333333333333
feet,11,0,1,2,-1,0.09090909090909091,0.18181818181818182,-0.09090909090909091
6000,9,0,0,1,-1,0.0,0.1111111111111111,-0.1111111111111111
exterior,9,1,2,3,-1,0.2222222222222222,0.3333333333333333,-0.1111111111111111
fds,7,0,3,4,-1,0.42857142857142855,0.5714285714285714,-0.14285714285714285
1000,5,0,1,2,-1,0.2,0.4,-0.2
clear,4,0,3,4,-1,0.75,1.0,-0.25
cycling,4,0,0,1,-1,0.0,0.25,-0.25
60,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
2600,2,0,0,1,-1,0.0,0.5,-0.5
red,2,0,1,2,-1,0.5,1.0,-0.5
8r,1,0,0,1,-1,0.0,1.0,-1.0
add,1,0,0,1,-1,0.0,1.0,-1.0
low,1,0,0,1,-1,0.0,1.0,-1.0
m,1,0,0,1,-1,0.0,1.0,-1.0
pitch,1,1,0,1,-1,0.0,1.0,-1.0
green,10,1,1,3,-2,0.1,0.3,-0.19999999999999998
light,7,1,0,2,-2,0.0,0.2857142857142857,-0.2857142857142857
obtain,8,1,5,8,-3,0.625,1.0,-0.375
ok,5,0,1,5,-4,0.2,1.0,-0.8
