token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
ok,5,0,1,5,-4,0.2,1.0,-0.8
obtain,8,1,5,8,-3,0.625,1.0,-0.375
light,7,1,0,2,-2,0.0,0.2857142857142857,-0.2857142857142857
green,10,1,1,3,-2,0.1,0.3,-0.19999999999999998
8r,1,0,0,1,-1,0.0,1.0,-1.0
add,1,0,0,1,-1,0.0,1.0,-1.0
low,1,0,0,1,-1,0.0,1.0,-1.0
m,1,0,0,1,-1,0.0,1.0,-1.0
pitch,1,1,0,1,-1,0.0,1.0,-1.0
2600,2,0,0,1,-1,0.0,0.5,-0.5
red,2,0,1,2,-1,0.5,1.0,-0.5
60,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
clear,4,0,3,4,-1,0.75,1.0,-0.25
cycling,4,0,0,1,-1,0.0,0.25,-0.25
1000,5,0,1,2,-1,0.2,0.4,-0.2
fds,7,0,3,4,-1,0.42857142857142855,0.5714285714285714,-0.14285714285714285
6000,9,0,0,1,-1,0.0,0.1111111111111111,-0.1111111111111111
exterior,9,1,2,3,-1,0.2222222222222222,0.3333333333333333,-0.1111111111111111
feet,11,0,1,2,-1,0.09090909090909091,0.18181818181818182,-0.09090909090909091
and,12,0,0,1,-1,0.0,0.08333333333333333,-0.08333333333333333
roger,42,1,0,0,0,0.0,0.0,0.0
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
the,16,0,3,3,0,0.1875,0.1875,0.0
is,10,0,2,2,0,0.2,0.2,0.0
control,9,0,0,0,0,0.0,0.0,0.0
am,8,0,0,0,0,0.0,0.0,0.0
gear,8,1,1,1,0,0.125,0.125,0.0
have,8,0,0,0,0,0.0,0.0,0.0
heading,8,1,3,3,0,0.375,0.375,0.0
