token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
18r,29,1,29,4,25,1.0,0.13793103448275862,0.8620689655172413
runway,44,1,17,9,8,0.38636363636363635,0.20454545454545456,0.1818181818181818
landing,31,1,17,11,6,0.5483870967741935,0.3548387096774194,0.19354838709677413
30,27,1,7,3,4,0.25925925925925924,0.1111111111111111,0.14814814814814814
hold,11,0,8,5,3,0.7272727272727273,0.45454545454545453,0.27272727272727276
busan,12,1,3,0,3,0.25,0.0,0.25
tower,12,1,3,0,3,0.25,0.0,0.25
sight,13,0,13,10,3,1.0,0.7692307692307693,0.23076923076923073
downwind,14,1,7,4,3,0.5,0.2857142857142857,0.2142857142857143
616,16,1,3,0,3,0.1875,0.0,0.1875
approach,4,0,4,2,2,1.0,0.5,0.5
high,5,1,2,0,2,0.4,0.0,0.4
speedbrakes,5,0,5,3,2,1.0,0.6,0.4
line,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
in,14,0,12,10,2,0.8571428571428571,0.7142857142857143,0.1428571428571428
to,17,0,5,3,2,0.29411764705882354,0.17647058823529413,0.11764705882352941
check,30,1,4,2,2,0.13333333333333333,0.06666666666666667,0.06666666666666667
armed,1,0,1,0,1,1.0,0.0,1.0
tailwind,1,0,1,0,1,1.0,0.0,1.0
around,2,0,1,0,1,0.5,0.0,0.5
disarmed,2,0,2,1,1,1.0,0.5,0.5
altitude,4,1,2,1,1,0.5,0.25,0.25
clear,4,0,3,2,1,0.75,0.5,0.25
knots,4,0,1,0,1,0.25,0.0,0.25
we,4,0,1,0,1,0.25,0.0,0.25
speed,5,0,1,0,1,0.2,0.0,0.2
at,7,0,4,3,1,0.5714285714285714,0.42857142857142855,0.14285714285714285
below,7,1,2,1,1,0.2857142857142857,0.14285714285714285,0.14285714285714285
complete,7,0,1,0,1,0.14285714285714285,0.0,0.14285714285714285
land,7,0,3,2,1,0.42857142857142855,0.2857142857142857,0.14285714285714285
green,10,1,1,0,1,0.1,0.0,0.1
is,10,0,2,1,1,0.2,0.1,0.1
whites,10,1,2,1,1,0.2,0.1,0.1
alt,11,0,11,10,1,1.0,0.9090909090909091,0.09090909090909094
feet,11,0,1,0,1,0.09090909090909091,0.0,0.09090909090909091
lights,12,0,4,3,1,0.3333333333333333,0.25,0.08333333333333331
vs,13,0,4,3,1,0.3076923076923077,0.23076923076923078,0.07692307692307693
execute,14,0,1,0,1,0.07142857142857142,0.0,0.07142857142857142
checklist,15,1,8,7,1,0.5333333333333333,0.4666666666666667,0.06666666666666665
the,16,0,3,2,1,0.1875,0.125,0.0625
singapore,17,1,1,0,1,0.058823529411764705,0.0,0.058823529411764705
flaps,27,1,14,13,1,0.5185185185185185,0.48148148148148145,0.037037037037037035
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
joining,14,0,5,5,0,0.35714285714285715,0.35714285714285715,0.0
and,12,0,0,0,0,0.0,0.0,0.0
captain,12,1,1,1,0,0.08333333333333333,0.08333333333333333,0.0
ab18r,10,1,10,10,0,1.0,1.0,0.0
control,9,0,0,0,0,0.0,0.0,0.0
exterior,9,1,2,2,0,0.2222222222222222,0.2222222222222222,0.0
are,8,0,1,1,0,0.125,0.125,0.0
have,8,0,0,0,0,0.0,0.0,0.0
heading,8,1,3,3,0,0.375,0.375,0.0
sel,8,0,8,8,0,1.0,1.0,0.0
checked,7,0,0,0,0,0.0,0.0,0.0
clearance,7,1,0,0,0,0.0,0.0,0.0
light,7,1,0,0,0,0.0,0.0,0.0
lnav,7,1,7,7,0,1.0,1.0,0.0
ready,7,0,0,0,0,0.0,0.0,0.0
speedbrake,6,1,6,6,0,1.0,1.0,0.0
stabilized,6,0,0,0,0,0.0,0.0,0.0
ok,5,0,1,1,0,0.2,0.2,0.0
you,5,0,0,0,0,0.0,0.0,0.0
4,4,0,1,1,0,0.25,0.25,0.0
papi,4,0,4,4,0,1.0,1.0,0.0
reds,4,0,0,0,0,0.0,0.0,0.0
speedbreaks,4,0,4,4,0,1.0,1.0,0.0
up,4,0,0,0,0,0.0,0.0,0.0
60,3,0,0,0,0,0.0,0.0,0.0
a,3,0,0,0,0,0.0,0.0,0.0
autobrake,3,0,3,3,0,1.0,1.0,0.0
cap,3,0,2,2,0,0.6666666666666666,0.6666666666666666,0.0
legs,3,0,2,2,0,0.6666666666666666,0.6666666666666666,0.0
normal,3,0,0,0,0,0.0,0.0,0.0
