token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
route,21,1,6,9,-3,0.2857142857142857,0.42857142857142855,-0.14285714285714285
2,32,1,14,17,-3,0.4375,0.53125,-0.09375
1000,5,0,1,3,-2,0.2,0.6,-0.39999999999999997
fds,7,0,3,5,-2,0.42857142857142855,0.7142857142857143,-0.28571428571428575
6000,9,0,0,2,-2,0.0,0.2222222222222222,-0.2222222222222222
confirm,24,0,1,3,-2,0.041666666666666664,0.125,-0.08333333333333334
8r,1,0,0,1,-1,0.0,1.0,-1.0
add,1,0,0,1,-1,0.0,1.0,-1.0
cleared,1,0,0,1,-1,0.0,1.0,-1.0
disarm,1,0,0,1,-1,0.0,1.0,-1.0
low,1,0,0,1,-1,0.0,1.0,-1.0
pitch,1,1,0,1,-1,0.0,1.0,-1.0
run,1,0,0,1,-1,0.0,1.0,-1.0
say,1,0,0,1,-1,0.0,1.0,-1.0
red,2,0,1,2,-1,0.5,1.0,-0.5
cycling,4,0,0,1,-1,0.0,0.25,-0.25
activate,5,1,1,2,-1,0.2,0.4,-0.2
available,5,1,0,1,-1,0.0,0.2,-0.2
go,5,0,0,1,-1,0.0,0.2,-0.2
700,7,1,1,2,-1,0.14285714285714285,0.2857142857142857,-0.14285714285714285
am,8,0,0,1,-1,0.0,0.125,-0.125
gear,8,1,1,2,-1,0.125,0.25,-0.125
obtain,8,1,5,6,-1,0.625,0.75,-0.125
down,9,0,1,2,-1,0.1111111111111111,0.2222222222222222,-0.1111111111111111
direct,10,1,1,2,-1,0.1,0.2,-0.1
activated,11,1,1,2,-1,0.09090909090909091,0.18181818181818182,-0.09090909090909091
roger,42,1,0,1,-1,0.0,0.023809523809523808,-0.023809523809523808
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
joining,14,0,5,5,0,0.35714285714285715,0.35714285714285715,0.0
