token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
alt,11,0,8,0,8,0.7272727272727273,0.0,0.7272727272727273
sel,8,0,8,1,7,1.0,0.125,0.875
speedbrakes,5,0,5,0,5,1.0,0.0,1.0
speedbrake,6,1,6,1,5,1.0,0.16666666666666666,0.8333333333333334
hold,11,0,5,0,5,0.45454545454545453,0.0,0.45454545454545453
ok,5,0,5,1,4,1.0,0.2,0.8
downwind,14,1,5,1,4,0.35714285714285715,0.07142857142857142,0.2857142857142857
green,10,1,3,0,3,0.3,0.0,0.3
papi,4,0,2,0,2,0.5,0.0,0.5
light,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
heading,8,1,3,1,2,0.375,0.125,0.25
obtain,8,1,8,6,2,1.0,0.75,0.25
sight,13,0,5,3,2,0.38461538461538464,0.23076923076923078,0.15384615384615385
in,14,0,5,3,2,0.35714285714285715,0.21428571428571427,0.14285714285714288
m,1,0,1,0,1,1.0,0.0,1.0
recycle,1,0,1,0,1,1.0,0.0,1.0
2600,2,0,1,0,1,0.5,0.0,0.5
4,4,0,1,0,1,0.25,0.0,0.25
altitude,4,1,2,1,1,0.5,0.25,0.25
knots,4,0,1,0,1,0.25,0.0,0.25
1000,5,0,2,1,1,0.4,0.2,0.2
activate,5,1,1,0,1,0.2,0.0,0.2
fds,7,0,4,3,1,0.5714285714285714,0.42857142857142855,0.14285714285714285
busan,12,1,2,1,1,0.16666666666666666,0.08333333333333333,0.08333333333333333
vs,13,0,3,2,1,0.23076923076923078,0.15384615384615385,0.07692307692307693
the,16,0,3,2,1,0.1875,0.125,0.0625
30,27,1,2,1,1,0.07407407407407407,0.037037037037037035,0.037037037037037035
runway,44,1,5,5,0,0.11363636363636363,0.11363636363636363,0.0
roger,42,1,0,0,0,0.0,0.0,0.0
2,32,1,11,11,0,0.34375,0.34375,0.0
