token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
alt,11,0,8,0,8,0.7272727272727273,0.0,0.7272727272727273
sel,8,0,8,1,7,1.0,0.125,0.875
speedbrakes,5,0,5,0,5,1.0,0.0,1.0
speedbrake,6,1,6,1,5,1.0,0.16666666666666666,0.8333333333333334
hold,11,0,5,0,5,0.45454545454545453,0.0,0.45454545454545453
ok,5,0,5,1,4,1.0,0.2,0.8
downwind,14,1,5,1,4,0.35714285714285715,0.07142857142857142,0.2857142857142857
green,10,1,3,0,3,0.3,0.0,0.3
papi,4,0,2,0,2,0.5,0.0,0.5
light,7,1,2,0,2,0.2857142857142857,0.0,0.2857142857142857
heading,8,1,3,1,2,0.375,0.125,0.25
obtain,8,1,8,6,2,1.0,0.75,0.25
sight,13,0,5,3,2,0.38461538461538464,0.23076923076923078,0.15384615384615385
in,14,0,5,3,2,0.35714285714285715,0.21428571428571427,0.14285714285714288
m,1,0,1,0,1,1.0,0.0,1.0
recycle,1,0,1,0,1,1.0,0.0,1.0
2600,2,0,1,0,1,0.5,0.0,0.5
4,4,0,1,0,1,0.25,0.0,0.25
altitude,4,1,2,1,1,0.5,0.25,0.25
knots,4,0,1,0,1,0.25,0.0,0.25
1000,5,0,2,1,1,0.4,0.2,0.2
activate,5,1,1,0,1,0.2,0.0,0.2
fds,7,0,4,3,1,0.5714285714285714,0.42857142857142855,0.14285714285714285
busan,12,1,2,1,1,0.16666666666666666,0.08333333333333333,0.08333333333333333
vs,13,0,3,2,1,0.23076923076923078,0.15384615384615385,0.07692307692307693
the,16,0,3,2,1,0.1875,0.125,0.0625
30,27,1,2,1,1,0.07407407407407407,0.037037037037037035,0.037037037037037035
runway,44,1,5,5,0,0.11363636363636363,0.11363636363636363,0.0
roger,42,1,0,0,0,0.0,0.0,0.0
2,32,1,11,11,0,0.34375,0.34375,0.0
landing,31,1,7,7,0,0.22580645161290322,0.22580645161290322,0.0
check,30,1,1,1,0,0.03333333333333333,0.03333333333333333,0.0
confirm,24,0,0,0,0,0.0,0.0,0.0
route,21,1,2,2,0,0.09523809523809523,0.09523809523809523,0.0
to,17,0,2,2,0,0.11764705882352941,0.11764705882352941,0.0
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
checklist,15,1,4,4,0,0.26666666666666666,0.26666666666666666,0.0
joining,14,0,2,2,0,0.14285714285714285,0.14285714285714285,0.0
captain,12,1,0,0,0,0.0,0.0,0.0
lights,12,0,3,3,0,0.25,0.25,0.0
tower,12,1,1,1,0,0.08333333333333333,0.08333333333333333,0.0
feet,11,0,2,2,0,0.18181818181818182,0.18181818181818182,0.0
direct,10,1,0,0,0,0.0,0.0,0.0
is,10,0,2,2,0,0.2,0.2,0.0
whites,10,1,1,1,0,0.1,0.1,0.0
6000,9,0,1,1,0,0.1111111111111111,0.1111111111111111,0.0
control,9,0,0,0,0,0.0,0.0,0.0
exterior,9,1,3,3,0,0.3333333333333333,0.3333333333333333,0.0
am,8,0,0,0,0,0.0,0.0,0.0
are,8,0,0,0,0,0.0,0.0,0.0
gear,8,1,1,1,0,0.125,0.125,0.0
have,8,0,0,0,0,0.0,0.0,0.0
below,7,1,1,1,0,0.14285714285714285,0.14285714285714285,0.0
checked,7,0,0,0,0,0.0,0.0,0.0
clearance,7,1,0,0,0,0.0,0.0,0.0
complete,7,0,0,0,0,0.0,0.0,0.0
land,7,0,1,1,0,0.14285714285714285,0.14285714285714285,0.0
line,7,1,0,0,0,0.0,0.0,0.0
ready,7,0,0,0,0,0.0,0.0,0.0
stabilized,6,0,0,0,0,0.0,0.0,0.0
available,5,1,0,0,0,0.0,0.0,0.0
go,5,0,0,0,0,0.0,0.0,0.0
high,5,1,0,0,0,0.0,0.0,0.0
speed,5,0,0,0,0,0.0,0.0,0.0
you,5,0,0,0,0,0.0,0.0,0.0
approach,4,0,0,0,0,0.0,0.0,0.0
clear,4,0,4,4,0,1.0,1.0,0.0
cycling,4,0,1,1,0,0.25,0.25,0.0
reds,4,0,0,0,0,0.0,0.0,0.0
speedbreaks,4,0,4,4,0,1.0,1.0,0.0
up,4,0,0,0,0,0.0,0.0,0.0
we,4,0,0,0,0,0.0,0.0,0.0
60,3,0,1,1,0,0.3333333333333333,0.3333333333333333,0.0
autobrake,3,0,2,2,0,0.6666666666666666,0.6666666666666666,0.0
cap,3,0,1,1,0,0.3333333333333333,0.3333333333333333,0.0
legs,3,0,2,2,0,0.6666666666666666,0.6666666666666666,0.0
normal,3,0,0,0,0,0.0,0.0,0.0
reversers,3,0,3,3,0,1.0,1.0,0.0
1200,2,0,0,0,0,0.0,0.0,0.0
altimeters,2,0,0,0,0,0.0,0.0,0.0
around,2,0,0,0,0,0.0,0.0,0.0
disarmed,2,0,1,1,0,0.5,0.5,0.0
final,2,0,0,0,0,0.0,0.0,0.0
fix,2,0,1,1,0,0.5,0.5,0.0
missed,2,0,1,1,0,0.5,0.5,0.0
profile,2,0,0,0,0,0.0,0.0,0.0
red,2,0,2,2,0,1.0,1.0,0.0
target,2,0,0,0,0,0.0,0.0,0.0
thousand,2,0,2,2,0,1.0,1.0,0.0
waybi,2,0,2,2,0,1.0,1.0,0.0
wrong,2,0,0,0,0,0.0,0.0,0.0
10,1,0,0,0,0,0.0,0.0,0.0
450,1,0,0,0,0,0.0,0.0,0.0
500,1,0,0,0,0,0.0,0.0,0.0
8616,1,0,0,0,0,0.0,0.0,0.0
8r,1,0,1,1,0,1.0,1.0,0.0
activating,1,0,0,0,0,0.0,0.0,0.0
add,1,0,1,1,0,1.0,1.0,0.0
again,1,0,0,0,0,0.0,0.0,0.0
all,1,0,0,0,0,0.0,0.0,0.0
armed,1,0,0,0,0,0.0,0.0,0.0
autopilot,1,1,0,0,0,0.0,0.0,0.0
