token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
18r,29,1,2,8,-6,0.06896551724137931,0.27586206896551724,-0.20689655172413793
616,16,1,0,3,-3,0.0,0.1875,-0.1875
singapore,17,1,0,3,-3,0.0,0.17647058823529413,-0.17647058823529413
bctl2,1,0,0,1,-1,0.0,1.0,-1.0
two,1,0,0,1,-1,0.0,1.0,-1.0
yes,1,0,0,1,-1,0.0,1.0,-1.0
950,2,0,0,1,-1,0.0,0.5,-0.5
bit,2,0,0,1,-1,0.0,0.5,-0.5
speedbreak,2,0,1,2,-1,0.5,1.0,-0.5
a,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
lnav,7,1,4,5,-1,0.5714285714285714,0.7142857142857143,-0.1428571428571429
700,7,1,0,1,-1,0.0,0.14285714285714285,-0.14285714285714285
at,7,0,0,1,-1,0.0,0.14285714285714285,-0.14285714285714285
down,9,0,0,1,-1,0.0,0.1111111111111111,-0.1111111111111111
ab18r,10,1,4,5,-1,0.4,0.5,-0.09999999999999998
activated,11,1,0,1,-1,0.0,0.09090909090909091,-0.09090909090909091
and,12,0,1,2,-1,0.08333333333333333,0.16666666666666666,-0.08333333333333333
execute,14,0,0,1,-1,0.0,0.07142857142857142,-0.07142857142857142
flaps,27,1,1,2,-1,0.037037037037037035,0.07407407407407407,-0.037037037037037035
runway,44,1,5,5,0,0.11363636363636363,0.11363636363636363,0.0
roger,42,1,0,0,0,0.0,0.0,0.0
2,32,1,11,11,0,0.34375,0.34375,0.0
landing,31,1,7,7,0,0.22580645161290322,0.22580645161290322,0.0
check,30,1,1,1,0,0.03333333333333333,0.03333333333333333,0.0
confirm,24,0,0,0,0,0.0,0.0,0.0
route,21,1,2,2,0,0.09523809523809523,0.09523809523809523,0.0
to,17,0,2,2,0,0.11764705882352941,0.11764705882352941,0.0
i,16,0,1,1,0,0.0625,0.0625,0.0
on,16,0,0,0,0,0.0,0.0,0.0
checklist,15,1,4,4,0,0.26666666666666666,0.26666666666666666,0.0
