token,ref_count,aviation_term,errors__Azure,error_rate__Azure,errors__Raw prediction,error_rate__Raw prediction,errors__LoRA prediction,error_rate__LoRA prediction,errors__LoRA+Prompt prediction,error_rate__LoRA+Prompt prediction,
runway,44,1,17,0.386363636,9,0.204545455,5,0.113636364,5,0.113636364,0.272727273
roger,42,1,0,0,1,0.023809524,0,0,0,0,0
2,32,1,14,0.4375,17,0.53125,11,0.34375,11,0.34375,0.09375
landing,31,1,17,0.548387097,11,0.35483871,7,0.225806452,7,0.225806452,0.322580645
check,30,1,4,0.133333333,2,0.066666667,1,0.033333333,1,0.033333333,0.1
18r,29,1,29,1,4,0.137931034,2,0.068965517,8,0.275862069,0.724137931
flaps,27,1,14,0.518518519,13,0.481481481,1,0.037037037,2,0.074074074,0.444444444
30,27,1,7,0.259259259,3,0.111111111,2,0.074074074,1,0.037037037,0.222222222
confirm,24,0,1,0.041666667,3,0.125,0,0,0,0,0.041666667
route,21,1,6,0.285714286,9,0.428571429,2,0.095238095,2,0.095238095,0.19047619
to,17,0,5,0.294117647,3,0.176470588,2,0.117647059,2,0.117647059,0.176470588
singapore,17,1,1,0.058823529,0,0,0,0,3,0.176470588,-0.117647059
the,16,0,3,0.1875,2,0.125,3,0.1875,2,0.125,0.0625
on,16,0,0,0,0,0,0,0,0,0,0
i,16,0,1,0.0625,1,0.0625,1,0.0625,1,0.0625,0
616,16,1,3,0.1875,0,0,0,0,3,0.1875,0
checklist,15,1,8,0.533333333,7,0.466666667,4,0.266666667,4,0.266666667,0.266666667
joining,14,0,5,0.357142857,5,0.357142857,2,0.142857143,2,0.142857143,0.214285714
in,14,0,12,0.857142857,10,0.714285714,5,0.357142857,3,0.214285714,0.642857143
execute,14,0,1,0.071428571,0,0,0,0,1,0.071428571,0
downwind,14,1,7,0.5,4,0.285714286,5,0.357142857,1,0.071428571,0.428571429
vs,13,0,4,0.307692308,3,0.230769231,3,0.230769231,2,0.153846154,0.153846154
sight,13,0,13,1,10,0.769230769,5,0.384615385,3,0.230769231,0.769230769
tower,12,1,3,0.25,0,0,1,0.083333333,1,0.083333333,0.166666667
lights,12,0,4,0.333333333,3,0.25,3,0.25,3,0.25,0.083333333
captain,12,1,1,0.083333333,1,0.083333333,0,0,0,0,0.083333333
busan,12,1,3,0.25,0,0,2,0.166666667,1,0.083333333,0.166666667
and,12,0,0,0,0,0,1,0.083333333,2,0.166666667,-0.166666667
