Timestamp_Beijing,HR,GSR
'2026-03-22 18:17:04,0,327
'2026-03-22 18:17:04,0,325
'2026-03-22 18:17:04,0,322
'2026-03-22 18:17:04,0,327
'2026-03-22 18:17:04,0,325
'2026-03-22 18:17:05,0,323
'2026-03-22 18:17:05,0,327
'2026-03-22 18:17:05,84,334
'2026-03-22 18:17:05,83,333
'2026-03-22 18:17:05,83,333
'2026-03-22 18:17:06,83,332
'2026-03-22 18:17:06,82,330
'2026-03-22 18:17:06,82,328
'2026-03-22 18:17:06,82,330
'2026-03-22 18:17:07,82,333
'2026-03-22 18:17:07,82,332
'2026-03-22 18:17:07,85,332
'2026-03-22 18:17:07,90,335
'2026-03-22 18:17:07,93,334
'2026-03-22 18:17:08,94,331
'2026-03-22 18:17:08,95,331
'2026-03-22 18:17:08,94,333
'2026-03-22 18:17:08,93,332
'2026-03-22 18:17:08,93,331
'2026-03-22 18:17:09,92,334
'2026-03-22 18:17:09,92,336
'2026-03-22 18:17:09,92,335
'2026-03-22 18:17:09,90,333
'2026-03-22 18:17:09,88,334
'2026-03-22 18:17:10,86,334
'2026-03-22 18:17:10,86,332
'2026-03-22 18:17:10,85,332
'2026-03-22 18:17:10,83,335
'2026-03-22 18:17:10,81,336
'2026-03-22 18:17:11,82,334
'2026-03-22 18:17:11,83,334
'2026-03-22 18:17:11,83,334
'2026-03-22 18:17:11,83,333
'2026-03-22 18:17:11,84,333
'2026-03-22 18:17:12,85,335
'2026-03-22 18:17:12,85,334
'2026-03-22 18:17:12,86,332
'2026-03-22 18:17:12,86,331
'2026-03-22 18:17:12,86,331
'2026-03-22 18:17:13,86,331
'2026-03-22 18:17:13,85,331
'2026-03-22 18:17:13,84,333
'2026-03-22 18:17:13,84,333
'2026-03-22 18:17:13,84,331
'2026-03-22 18:17:14,84,330
'2026-03-22 18:17:14,84,332
'2026-03-22 18:17:14,84,334
'2026-03-22 18:17:14,83,335
'2026-03-22 18:17:15,82,336
'2026-03-22 18:17:15,82,335
'2026-03-22 18:17:15,82,334
'2026-03-22 18:17:15,83,333
'2026-03-22 18:17:15,83,333
'2026-03-22 18:17:16,83,332
'2026-03-22 18:17:16,83,331
'2026-03-22 18:17:16,84,331
'2026-03-22 18:17:16,84,333
'2026-03-22 18:17:16,85,333
'2026-03-22 18:17:17,86,331
'2026-03-22 18:17:17,87,331
'2026-03-22 18:17:17,89,332
'2026-03-22 18:17:17,89,332
'2026-03-22 18:17:17,89,329
'2026-03-22 18:17:18,89,329
'2026-03-22 18:17:18,88,331
'2026-03-22 18:17:18,88,329
'2026-03-22 18:17:18,90,330
'2026-03-22 18:17:18,90,332
'2026-03-22 18:17:19,90,332
'2026-03-22 18:17:19,93,332
'2026-03-22 18:17:19,93,333
'2026-03-22 18:17:19,93,333
'2026-03-22 18:17:19,95,333
'2026-03-22 18:17:20,96,331
'2026-03-22 18:17:20,97,328
'2026-03-22 18:17:20,99,328
'2026-03-22 18:17:20,101,325
'2026-03-22 18:17:20,102,324
'2026-03-22 18:17:21,103,326
'2026-03-22 18:17:21,103,326
'2026-03-22 18:17:21,104,325
'2026-03-22 18:17:21,105,328
'2026-03-22 18:17:22,105,331
'2026-03-22 18:17:22,105,330
'2026-03-22 18:17:22,104,328
'2026-03-22 18:17:22,104,327
'2026-03-22 18:17:22,105,327
'2026-03-22 18:17:23,103,327
'2026-03-22 18:17:23,103,329
'2026-03-22 18:17:23,103,331
'2026-03-22 18:17:23,103,331
'2026-03-22 18:17:23,103,330
'2026-03-22 18:17:24,102,330
'2026-03-22 18:17:24,103,330
'2026-03-22 18:17:24,104,329
'2026-03-22 18:17:24,104,329
'2026-03-22 18:17:24,104,332
'2026-03-22 18:17:25,103,331
'2026-03-22 18:17:25,101,330
'2026-03-22 18:17:25,99,331
'2026-03-22 18:17:25,97,331
'2026-03-22 18:17:25,98,328
'2026-03-22 18:17:26,98,329
'2026-03-22 18:17:26,96,333
'2026-03-22 18:17:26,95,332
'2026-03-22 18:17:26,94,328
'2026-03-22 18:17:26,92,329
'2026-03-22 18:17:27,91,332
'2026-03-22 18:17:27,91,329
'2026-03-22 18:17:27,90,326
'2026-03-22 18:17:27,90,327
'2026-03-22 18:17:27,91,328
'2026-03-22 18:17:28,91,326
'2026-03-22 18:17:28,90,325
'2026-03-22 18:17:28,89,327
'2026-03-22 18:17:28,90,329
'2026-03-22 18:17:28,91,329
'2026-03-22 18:17:29,91,329
'2026-03-22 18:17:29,92,330
'2026-03-22 18:17:29,92,330
'2026-03-22 18:17:29,92,329
'2026-03-22 18:17:30,93,330
'2026-03-22 18:17:30,92,329
'2026-03-22 18:17:30,92,327
'2026-03-22 18:17:30,91,328
'2026-03-22 18:17:30,89,331
'2026-03-22 18:17:31,89,330
'2026-03-22 18:17:31,90,328
'2026-03-22 18:17:31,89,329
'2026-03-22 18:17:31,88,329
'2026-03-22 18:17:31,87,326
'2026-03-22 18:17:32,87,327
'2026-03-22 18:17:32,88,330
'2026-03-22 18:17:32,89,328
'2026-03-22 18:17:32,89,325
'2026-03-22 18:17:32,90,326
'2026-03-22 18:17:33,91,328
'2026-03-22 18:17:33,91,327
'2026-03-22 18:17:33,92,325
'2026-03-22 18:17:33,93,327
'2026-03-22 18:17:33,93,327
'2026-03-22 18:17:34,92,327
'2026-03-22 18:17:34,91,327
'2026-03-22 18:17:34,90,329
'2026-03-22 18:17:34,90,330
'2026-03-22 18:17:34,89,330
'2026-03-22 18:17:35,88,331
'2026-03-22 18:17:35,85,331
'2026-03-22 18:17:35,84,330
'2026-03-22 18:17:35,84,328
'2026-03-22 18:17:35,82,329
'2026-03-22 18:17:36,82,328
'2026-03-22 18:17:36,83,325
'2026-03-22 18:17:36,83,326
'2026-03-22 18:17:36,82,328
'2026-03-22 18:17:37,83,327
'2026-03-22 18:17:37,83,326
'2026-03-22 18:17:37,84,329
'2026-03-22 18:17:37,83,330
'2026-03-22 18:17:37,82,326
'2026-03-22 18:17:38,82,326
'2026-03-22 18:17:38,82,326
'2026-03-22 18:17:38,82,325
'2026-03-22 18:17:38,81,325
'2026-03-22 18:17:38,81,327
'2026-03-22 18:17:39,80,327
'2026-03-22 18:17:39,78,326
'2026-03-22 18:17:39,77,327
'2026-03-22 18:17:39,77,328
'2026-03-22 18:17:39,76,328
'2026-03-22 18:17:40,76,327
'2026-03-22 18:17:40,76,328
'2026-03-22 18:17:40,75,328
'2026-03-22 18:17:40,75,327
'2026-03-22 18:17:40,76,327
'2026-03-22 18:17:41,76,327
'2026-03-22 18:17:41,76,327
'2026-03-22 18:17:41,76,324
'2026-03-22 18:17:41,76,323
'2026-03-22 18:17:41,77,324
'2026-03-22 18:17:42,78,325
'2026-03-22 18:17:42,78,325
'2026-03-22 18:17:42,77,325
'2026-03-22 18:17:42,78,324
'2026-03-22 18:17:42,79,323
'2026-03-22 18:17:43,78,324
'2026-03-22 18:17:43,79,327
'2026-03-22 18:17:43,78,327
'2026-03-22 18:17:43,78,324
'2026-03-22 18:17:43,77,323
'2026-03-22 18:17:44,77,324
'2026-03-22 18:17:44,77,323
'2026-03-22 18:17:44,76,323
'2026-03-22 18:17:44,77,325
'2026-03-22 18:17:45,79,326
'2026-03-22 18:17:45,80,324
'2026-03-22 18:17:45,81,324
'2026-03-22 18:17:45,81,327
'2026-03-22 18:17:45,81,326
'2026-03-22 18:17:46,80,322
'2026-03-22 18:17:46,81,323
'2026-03-22 18:17:46,82,326
'2026-03-22 18:17:46,82,324
'2026-03-22 18:17:46,83,324
'2026-03-22 18:17:47,84,325
'2026-03-22 18:17:47,84,324
'2026-03-22 18:17:47,84,323
'2026-03-22 18:17:47,85,325
'2026-03-22 18:17:47,85,325
'2026-03-22 18:17:48,85,323
'2026-03-22 18:17:48,85,324
'2026-03-22 18:17:48,85,325
'2026-03-22 18:17:48,86,323
'2026-03-22 18:17:48,87,320
'2026-03-22 18:17:49,87,321
'2026-03-22 18:17:49,87,324
'2026-03-22 18:17:49,86,325
'2026-03-22 18:17:49,87,324
'2026-03-22 18:17:49,87,323
'2026-03-22 18:17:50,87,324
'2026-03-22 18:17:50,87,324
'2026-03-22 18:17:50,88,324
'2026-03-22 18:17:50,88,323
'2026-03-22 18:17:50,88,323
'2026-03-22 18:17:51,89,324
'2026-03-22 18:17:51,87,325
'2026-03-22 18:17:51,87,328
'2026-03-22 18:17:51,89,328
'2026-03-22 18:17:52,89,323
'2026-03-22 18:17:52,90,323
'2026-03-22 18:17:52,91,324
'2026-03-22 18:17:52,91,322
'2026-03-22 18:17:52,91,321
'2026-03-22 18:17:53,93,322
'2026-03-22 18:17:53,94,320
'2026-03-22 18:17:53,92,316
'2026-03-22 18:17:53,91,317
'2026-03-22 18:17:53,91,320
'2026-03-22 18:17:54,91,319
'2026-03-22 18:17:54,92,319
'2026-03-22 18:17:54,92,322
'2026-03-22 18:17:54,91,323
'2026-03-22 18:17:54,91,321
'2026-03-22 18:17:55,91,321
'2026-03-22 18:17:55,91,323
'2026-03-22 18:17:55,91,323
'2026-03-22 18:17:55,92,319
'2026-03-22 18:17:55,93,317
'2026-03-22 18:17:56,92,319
'2026-03-22 18:17:56,91,320
'2026-03-22 18:17:56,90,319
'2026-03-22 18:17:56,90,321
'2026-03-22 18:17:56,91,322
'2026-03-22 18:17:57,91,320
'2026-03-22 18:17:57,91,317
'2026-03-22 18:17:57,92,319
'2026-03-22 18:17:57,93,320
'2026-03-22 18:17:57,93,318
'2026-03-22 18:17:58,93,319
'2026-03-22 18:17:58,91,322
'2026-03-22 18:17:58,91,320
'2026-03-22 18:17:58,92,317
'2026-03-22 18:17:59,91,319
'2026-03-22 18:17:59,90,319
'2026-03-22 18:17:59,90,317
'2026-03-22 18:17:59,91,318
