participant_id,timestamp,t_rel_s,level,event,question_index_global,question_index_level,question_display,selected_answer,correct_answer,is_correct,rt_ms,level_time_left_s,question_time_left_s,accuracy_pct,note
P20260322_181746,2026-03-22T18:17:48.988,0.0,1,EXPERIMENT_START,0,0,,,,,,,,,
P20260322_181746,2026-03-22T18:17:48.989,0.001,1,LEVEL_START,0,0,,,,,,120.0,,,level_1
P20260322_181746,2026-03-22T18:17:48.991,0.003,1,QUESTION_ONSET,1,1,8 + 1 = ?,,9,,,119.998,9.999,,
P20260322_181746,2026-03-22T18:17:50.379,1.391,1,RESPONSE,1,1,8 + 1 = ?,9,9,1,1389,118.61,,100.0,
P20260322_181746,2026-03-22T18:17:51.586,2.598,1,QUESTION_ONSET,2,2,9 - 2 = ?,,7,,,117.403,9.999,100.0,
P20260322_181746,2026-03-22T18:17:52.893,3.905,1,RESPONSE,2,2,9 - 2 = ?,7,7,1,1307,116.096,,100.0,
P20260322_181746,2026-03-22T18:17:54.101,5.113,1,QUESTION_ONSET,3,3,3 - 0 = ?,,3,,,114.888,10.0,100.0,
P20260322_181746,2026-03-22T18:17:55.532,6.543,1,RESPONSE,3,3,3 - 0 = ?,3,3,1,1431,113.457,,100.0,
P20260322_181746,2026-03-22T18:17:56.734,7.746,1,QUESTION_ONSET,4,4,5 + 2 = ?,,7,,,112.255,10.0,100.0,
P20260322_181746,2026-03-22T18:17:58.966,9.978,1,RESPONSE,4,4,5 + 2 = ?,7,7,1,2232,110.023,,100.0,
P20260322_181746,2026-03-22T18:18:00.172,11.184,1,QUESTION_ONSET,5,5,9 - 9 = ?,,0,,,108.817,10.0,100.0,
P20260322_181746,2026-03-22T18:18:01.984,12.995,1,RESPONSE,5,5,9 - 9 = ?,0,0,1,1811,107.005,,100.0,
P20260322_181746,2026-03-22T18:18:03.192,14.204,1,QUESTION_ONSET,6,6,1 + 2 = ?,,3,,,105.797,10.0,100.0,
P20260322_181746,2026-03-22T18:18:06.026,17.038,1,RESPONSE,6,6,1 + 2 = ?,3,3,1,2834,102.963,,100.0,
P20260322_181746,2026-03-22T18:18:07.236,18.248,1,QUESTION_ONSET,7,7,5 + 3 = ?,,8,,,101.753,10.0,100.0,
P20260322_181746,2026-03-22T18:18:12.563,23.575,1,RESPONSE,7,7,5 + 3 = ?,8,8,1,5327,96.426,,100.0,
P20260322_181746,2026-03-22T18:18:13.767,24.778,1,QUESTION_ONSET,8,8,6 + 1 = ?,,7,,,95.222,9.999,100.0,
P20260322_181746,2026-03-22T18:18:15.917,26.929,1,RESPONSE,8,8,6 + 1 = ?,7,7,1,2151,93.072,,100.0,
P20260322_181746,2026-03-22T18:18:17.122,28.134,1,QUESTION_ONSET,9,9,4 + 1 = ?,,5,,,91.867,10.0,100.0,
P20260322_181746,2026-03-22T18:18:18.860,29.872,1,RESPONSE,9,9,4 + 1 = ?,5,5,1,1738,90.129,,100.0,
P20260322_181746,2026-03-22T18:18:20.072,31.084,1,QUESTION_ONSET,10,10,6 - 1 = ?,,5,,,88.917,9.999,100.0,
P20260322_181746,2026-03-22T18:18:21.652,32.664,1,RESPONSE,10,10,6 - 1 = ?,5,5,1,1580,87.337,,100.0,
P20260322_181746,2026-03-22T18:18:22.865,33.876,1,QUESTION_ONSET,11,11,5 - 0 = ?,,5,,,86.124,10.0,100.0,
P20260322_181746,2026-03-22T18:18:24.436,35.448,1,RESPONSE,11,11,5 - 0 = ?,5,5,1,1571,84.553,,100.0,
P20260322_181746,2026-03-22T18:18:25.639,36.651,1,QUESTION_ONSET,12,12,8 - 8 = ?,,0,,,83.35,10.0,100.0,
P20260322_181746,2026-03-22T18:18:27.603,38.614,1,RESPONSE,12,12,8 - 8 = ?,0,0,1,1963,81.387,,100.0,
P20260322_181746,2026-03-22T18:18:28.806,39.818,1,QUESTION_ONSET,13,13,8 - 1 = ?,,7,,,80.183,10.0,100.0,
P20260322_181746,2026-03-22T18:18:31.783,42.794,1,RESPONSE,13,13,8 - 1 = ?,7,7,1,2976,77.207,,100.0,
P20260322_181746,2026-03-22T18:18:32.990,44.002,1,QUESTION_ONSET,14,14,8 - 0 = ?,,8,,,75.999,10.0,100.0,
P20260322_181746,2026-03-22T18:18:34.902,45.914,1,RESPONSE,14,14,8 - 0 = ?,8,8,1,1912,74.087,,100.0,
P20260322_181746,2026-03-22T18:18:36.105,47.117,1,QUESTION_ONSET,15,15,9 - 4 = ?,,5,,,72.884,9.999,100.0,
P20260322_181746,2026-03-22T18:18:40.813,51.825,1,RESPONSE,15,15,9 - 4 = ?,5,5,1,4708,68.176,,100.0,
P20260322_181746,2026-03-22T18:18:42.022,53.033,1,QUESTION_ONSET,16,16,6 - 3 = ?,,3,,,66.967,10.0,100.0,
P20260322_181746,2026-03-22T18:18:44.669,55.681,1,RESPONSE,16,16,6 - 3 = ?,3,3,1,2647,64.32,,100.0,
P20260322_181746,2026-03-22T18:18:45.882,56.894,1,QUESTION_ONSET,17,17,6 + 1 = ?,,7,,,63.107,10.0,100.0,
P20260322_181746,2026-03-22T18:18:48.802,59.813,1,RESPONSE,17,17,6 + 1 = ?,7,7,1,2920,60.187,,100.0,
P20260322_181746,2026-03-22T18:18:50.004,61.016,1,QUESTION_ONSET,18,18,5 + 4 = ?,,9,,,58.985,10.0,100.0,
P20260322_181746,2026-03-22T18:18:52.517,63.529,1,RESPONSE,18,18,5 + 4 = ?,9,9,1,2513,56.472,,100.0,
P20260322_181746,2026-03-22T18:18:53.722,64.733,1,QUESTION_ONSET,19,19,8 - 2 = ?,,6,,,55.267,9.999,100.0,
P20260322_181746,2026-03-22T18:18:55.527,66.539,1,RESPONSE,19,19,8 - 2 = ?,6,6,1,1806,53.462,,100.0,
P20260322_181746,2026-03-22T18:18:56.739,67.751,1,QUESTION_ONSET,20,20,3 + 3 = ?,,6,,,52.25,10.0,100.0,
P20260322_181746,2026-03-22T18:18:58.391,69.403,1,RESPONSE,20,20,3 + 3 = ?,6,6,1,1651,50.598,,100.0,
P20260322_181746,2026-03-22T18:18:59.592,70.604,1,QUESTION_ONSET,21,21,3 + 3 = ?,,6,,,49.397,10.0,100.0,
P20260322_181746,2026-03-22T18:19:01.278,72.29,1,RESPONSE,21,21,3 + 3 = ?,6,6,1,1685,47.711,,100.0,
P20260322_181746,2026-03-22T18:19:02.494,73.505,1,QUESTION_ONSET,22,22,8 - 5 = ?,,3,,,46.496,9.999,100.0,
P20260322_181746,2026-03-22T18:19:03.949,74.961,1,RESPONSE,22,22,8 - 5 = ?,3,3,1,1455,45.04,,100.0,
P20260322_181746,2026-03-22T18:19:05.161,76.173,1,QUESTION_ONSET,23,23,3 - 0 = ?,,3,,,43.828,10.0,100.0,
