Timestamp_Beijing,HR,GSR,HR_Baseline,GSR_Baseline
'2026-03-19 16:35:24,75,352,70.69673295,309.1796875
'2026-03-19 16:35:24,75,350,,
'2026-03-19 16:35:24,75,353,,
'2026-03-19 16:35:24,75,350,,
'2026-03-19 16:35:24,75,349,,
'2026-03-19 16:35:25,75,347,,
'2026-03-19 16:35:25,74,347,,
'2026-03-19 16:35:25,74,347,,
'2026-03-19 16:35:25,74,345,,
'2026-03-19 16:35:25,74,345,,
'2026-03-19 16:35:26,73,346,,
'2026-03-19 16:35:26,73,347,,
'2026-03-19 16:35:26,73,345,,
'2026-03-19 16:35:26,73,345,,
'2026-03-19 16:35:26,73,341,,
'2026-03-19 16:35:27,73,340,,
'2026-03-19 16:35:27,73,335,,
'2026-03-19 16:35:27,73,333,,
'2026-03-19 16:35:27,73,333,,
'2026-03-19 16:35:27,73,338,,
'2026-03-19 16:35:28,73,337,,
'2026-03-19 16:35:28,73,336,,
'2026-03-19 16:35:28,73,337,,
'2026-03-19 16:35:28,72,340,,
'2026-03-19 16:35:29,72,339,,
'2026-03-19 16:35:29,72,340,,
'2026-03-19 16:35:29,72,341,,
'2026-03-19 16:35:29,71,347,,
'2026-03-19 16:35:29,71,346,,
'2026-03-19 16:35:30,71,344,,
'2026-03-19 16:35:30,71,344,,
'2026-03-19 16:35:30,71,346,,
'2026-03-19 16:35:30,70,353,,
'2026-03-19 16:35:30,70,348,,
'2026-03-19 16:35:31,70,347,,
'2026-03-19 16:35:31,70,347,,
'2026-03-19 16:35:31,70,352,,
'2026-03-19 16:35:31,70,347,,
'2026-03-19 16:35:31,70,347,,
'2026-03-19 16:35:32,70,348,,
'2026-03-19 16:35:32,69,350,,
'2026-03-19 16:35:32,69,350,,
'2026-03-19 16:35:32,69,347,,
'2026-03-19 16:35:32,69,346,,
'2026-03-19 16:35:33,68,346,,
'2026-03-19 16:35:33,68,352,,
'2026-03-19 16:35:33,68,346,,
'2026-03-19 16:35:33,68,344,,
'2026-03-19 16:35:33,68,341,,
'2026-03-19 16:35:34,68,349,,
'2026-03-19 16:35:34,68,343,,
'2026-03-19 16:35:34,68,338,,
'2026-03-19 16:35:34,70,338,,
'2026-03-19 16:35:34,70,339,,
'2026-03-19 16:35:35,70,335,,
'2026-03-19 16:35:35,70,335,,
'2026-03-19 16:35:35,70,342,,
'2026-03-19 16:35:35,70,336,,
'2026-03-19 16:35:36,70,335,,
'2026-03-19 16:35:36,71,335,,
'2026-03-19 16:35:36,71,342,,
'2026-03-19 16:35:36,71,339,,
'2026-03-19 16:35:36,71,337,,
'2026-03-19 16:35:37,71,338,,
'2026-03-19 16:35:37,71,341,,
'2026-03-19 16:35:37,71,337,,
'2026-03-19 16:35:37,71,337,,
'2026-03-19 16:35:37,72,340,,
'2026-03-19 16:35:38,72,343,,
'2026-03-19 16:35:38,72,338,,
'2026-03-19 16:35:38,72,336,,
'2026-03-19 16:35:38,72,337,,
'2026-03-19 16:35:38,73,343,,
'2026-03-19 16:35:39,73,336,,
'2026-03-19 16:35:39,73,336,,
'2026-03-19 16:35:39,73,335,,
'2026-03-19 16:35:39,72,340,,
'2026-03-19 16:35:39,72,340,,
'2026-03-19 16:35:40,72,336,,
'2026-03-19 16:35:40,72,336,,
'2026-03-19 16:35:40,72,336,,
'2026-03-19 16:35:40,72,342,,
'2026-03-19 16:35:40,72,340,,
'2026-03-19 16:35:41,72,338,,
'2026-03-19 16:35:41,72,336,,
'2026-03-19 16:35:41,72,345,,
'2026-03-19 16:35:41,72,334,,
'2026-03-19 16:35:41,72,336,,
'2026-03-19 16:35:42,72,330,,
'2026-03-19 16:35:42,72,333,,
'2026-03-19 16:35:42,72,325,,
'2026-03-19 16:35:42,72,324,,
'2026-03-19 16:35:42,72,321,,
'2026-03-19 16:35:43,72,328,,
'2026-03-19 16:35:43,72,328,,
'2026-03-19 16:35:43,72,329,,
'2026-03-19 16:35:43,72,333,,
'2026-03-19 16:35:44,72,338,,
'2026-03-19 16:35:44,72,333,,
'2026-03-19 16:35:44,72,333,,
'2026-03-19 16:35:44,71,336,,
'2026-03-19 16:35:44,71,341,,
'2026-03-19 16:35:45,71,338,,
'2026-03-19 16:35:45,71,337,,
'2026-03-19 16:35:45,71,338,,
'2026-03-19 16:35:45,70,347,,
'2026-03-19 16:35:45,70,341,,
'2026-03-19 16:35:46,70,338,,
'2026-03-19 16:35:46,70,340,,
'2026-03-19 16:35:46,70,346,,
