Timestamp_Beijing,HR,GSR
'2026-03-19 16:42:13,65,121
'2026-03-19 16:42:13,66,121
'2026-03-19 16:42:13,66,123
'2026-03-19 16:42:13,66,124
'2026-03-19 16:42:13,67,124
'2026-03-19 16:42:13,67,126
'2026-03-19 16:42:13,65,121
'2026-03-19 16:42:13,65,122
'2026-03-19 16:42:13,65,121
'2026-03-19 16:42:13,66,121
'2026-03-19 16:42:13,66,123
'2026-03-19 16:42:13,66,124
'2026-03-19 16:42:13,67,124
'2026-03-19 16:42:13,67,126
'2026-03-19 16:42:13,65,121
'2026-03-19 16:42:13,65,122
'2026-03-19 16:42:13,65,121
'2026-03-19 16:42:13,66,121
'2026-03-19 16:42:13,66,123
'2026-03-19 16:42:13,66,124
'2026-03-19 16:42:13,67,124
'2026-03-19 16:42:13,67,126
'2026-03-19 16:42:15,0,128
'2026-03-19 16:42:15,0,130
'2026-03-19 16:42:15,0,130
'2026-03-19 16:42:15,0,130
'2026-03-19 16:42:16,173,131
'2026-03-19 16:42:16,173,132
'2026-03-19 16:42:16,165,132
'2026-03-19 16:42:16,165,132
'2026-03-19 16:42:16,165,133
'2026-03-19 16:42:17,165,132
'2026-03-19 16:42:17,165,132
'2026-03-19 16:42:17,144,135
'2026-03-19 16:42:17,144,135
'2026-03-19 16:42:17,144,134
'2026-03-19 16:42:18,144,134
'2026-03-19 16:42:18,126,137
'2026-03-19 16:42:18,126,136
'2026-03-19 16:42:18,126,136
'2026-03-19 16:42:18,126,136
'2026-03-19 16:42:19,113,138
'2026-03-19 16:42:19,113,138
'2026-03-19 16:42:19,113,137
'2026-03-19 16:42:19,113,138
'2026-03-19 16:42:19,113,138
'2026-03-19 16:42:20,102,139
'2026-03-19 16:42:20,102,140
'2026-03-19 16:42:20,102,142
'2026-03-19 16:42:20,102,140
'2026-03-19 16:42:21,93,140
'2026-03-19 16:42:21,93,144
'2026-03-19 16:42:21,93,146
'2026-03-19 16:42:21,93,153
'2026-03-19 16:42:21,93,144
'2026-03-19 16:42:22,85,145
'2026-03-19 16:42:22,85,143
'2026-03-19 16:42:22,85,143
'2026-03-19 16:42:22,80,144
'2026-03-19 16:42:22,80,146
'2026-03-19 16:42:23,80,144
'2026-03-19 16:42:23,80,143
'2026-03-19 16:42:23,77,141
'2026-03-19 16:42:23,77,133
'2026-03-19 16:42:23,77,123
'2026-03-19 16:42:24,73,114
'2026-03-19 16:42:24,73,105
'2026-03-19 16:42:24,73,97
'2026-03-19 16:42:24,73,89
'2026-03-19 16:42:24,71,86
'2026-03-19 16:42:25,71,81
'2026-03-19 16:42:25,71,77
'2026-03-19 16:42:25,71,75
'2026-03-19 16:42:25,72,76
'2026-03-19 16:42:25,72,75
'2026-03-19 16:42:26,72,76
'2026-03-19 16:42:26,72,77
'2026-03-19 16:42:26,72,77
'2026-03-19 16:42:26,72,78
'2026-03-19 16:42:26,72,80
'2026-03-19 16:42:27,72,81
'2026-03-19 16:42:27,73,82
'2026-03-19 16:42:27,73,85
'2026-03-19 16:42:27,73,87
'2026-03-19 16:42:28,73,86
'2026-03-19 16:42:28,73,86
'2026-03-19 16:42:28,73,89
'2026-03-19 16:42:28,73,89
