participant_id,timestamp,t_rel_s,level,event,question_index_global,question_index_level,question_display,selected_answer,correct_answer,is_correct,rt_ms,level_time_left_s,question_time_left_s,accuracy_pct,note
P20260319_164255,2026-03-19T16:43:08.216,0.0,1,EXPERIMENT_START,0,0,,,,,,,,,
P20260319_164255,2026-03-19T16:43:08.217,0.001,1,LEVEL_START,0,0,,,,,,120.0,,,level_1
P20260319_164255,2026-03-19T16:43:08.219,0.004,1,QUESTION_ONSET,1,1,3 + 1 = ?,,4,,,119.998,9.999,,
P20260319_164255,2026-03-19T16:43:11.161,2.945,1,RESPONSE,1,1,3 + 1 = ?,4,4,1,2942,117.056,,100.0,
P20260319_164255,2026-03-19T16:43:12.376,4.16,1,QUESTION_ONSET,2,2,7 - 2 = ?,,5,,,115.841,9.999,100.0,
P20260319_164255,2026-03-19T16:43:14.750,6.534,1,RESPONSE,2,2,7 - 2 = ?,5,5,1,2374,113.467,,100.0,
P20260319_164255,2026-03-19T16:43:15.960,7.744,1,QUESTION_ONSET,3,3,8 - 7 = ?,,1,,,112.257,9.999,100.0,
P20260319_164255,2026-03-19T16:43:18.197,9.982,1,RESPONSE,3,3,8 - 7 = ?,1,1,1,2238,110.02,,100.0,
P20260319_164255,2026-03-19T16:43:19.403,11.188,1,QUESTION_ONSET,4,4,6 - 6 = ?,,0,,,108.814,9.999,100.0,
P20260319_164255,2026-03-19T16:43:21.481,13.265,1,RESPONSE,4,4,6 - 6 = ?,0,0,1,2078,106.736,,100.0,
P20260319_164255,2026-03-19T16:43:22.683,14.468,1,QUESTION_ONSET,5,5,8 - 5 = ?,,3,,,105.534,9.999,100.0,
P20260319_164255,2026-03-19T16:43:26.457,18.241,1,RESPONSE,5,5,8 - 5 = ?,3,3,1,3774,101.76,,100.0,
P20260319_164255,2026-03-19T16:43:27.661,19.445,1,QUESTION_ONSET,6,6,9 - 0 = ?,,9,,,100.556,9.999,100.0,
P20260319_164255,2026-03-19T16:43:29.852,21.636,1,RESPONSE,6,6,9 - 0 = ?,9,9,1,2191,98.365,,100.0,
P20260319_164255,2026-03-19T16:43:31.057,22.841,1,QUESTION_ONSET,7,7,9 - 1 = ?,,8,,,97.16,9.999,100.0,
P20260319_164255,2026-03-19T16:43:33.188,24.972,1,RESPONSE,7,7,9 - 1 = ?,8,8,1,2131,95.029,,100.0,
P20260319_164255,2026-03-19T16:43:34.399,26.183,1,QUESTION_ONSET,8,8,9 - 1 = ?,,8,,,93.818,10.0,100.0,
P20260319_164255,2026-03-19T16:43:36.341,28.126,1,RESPONSE,8,8,9 - 1 = ?,8,8,1,1942,91.876,,100.0,
P20260319_164255,2026-03-19T16:43:37.558,29.343,1,QUESTION_ONSET,9,9,6 - 6 = ?,,0,,,90.659,9.999,100.0,
P20260319_164255,2026-03-19T16:43:39.288,31.072,1,RESPONSE,9,9,6 - 6 = ?,0,0,1,1729,88.929,,100.0,
P20260319_164255,2026-03-19T16:43:40.492,32.276,1,QUESTION_ONSET,10,10,6 - 6 = ?,,0,,,87.725,9.999,100.0,
P20260319_164255,2026-03-19T16:43:42.904,34.689,1,RESPONSE,10,10,6 - 6 = ?,0,0,1,2412,85.313,,100.0,
P20260319_164255,2026-03-19T16:43:44.108,35.893,1,QUESTION_ONSET,11,11,8 - 7 = ?,,1,,,84.109,9.999,100.0,
P20260319_164255,2026-03-19T16:43:45.779,37.563,1,RESPONSE,11,11,8 - 7 = ?,1,1,1,1671,82.438,,100.0,
P20260319_164255,2026-03-19T16:43:46.987,38.771,1,QUESTION_ONSET,12,12,1 + 7 = ?,,8,,,81.23,9.999,100.0,
P20260319_164255,2026-03-19T16:43:48.386,40.17,1,RESPONSE,12,12,1 + 7 = ?,8,8,1,1399,79.831,,100.0,
P20260319_164255,2026-03-19T16:43:49.589,41.373,1,QUESTION_ONSET,13,13,0 + 6 = ?,,6,,,78.628,9.999,100.0,
P20260319_164255,2026-03-19T16:43:51.247,43.032,1,RESPONSE,13,13,0 + 6 = ?,6,6,1,1659,76.97,,100.0,
P20260319_164255,2026-03-19T16:43:52.452,44.236,1,QUESTION_ONSET,14,14,0 - 0 = ?,,0,,,75.765,9.999,100.0,
P20260319_164255,2026-03-19T16:43:54.088,45.872,1,RESPONSE,14,14,0 - 0 = ?,0,0,1,1636,74.129,,100.0,
P20260319_164255,2026-03-19T16:43:55.294,47.079,1,QUESTION_ONSET,15,15,8 - 6 = ?,,2,,,72.923,9.999,100.0,
P20260319_164255,2026-03-19T16:43:56.991,48.776,1,RESPONSE,15,15,8 - 6 = ?,2,2,1,1697,71.225,,100.0,
P20260319_164255,2026-03-19T16:43:58.207,49.991,1,QUESTION_ONSET,16,16,5 + 1 = ?,,6,,,70.01,9.999,100.0,
P20260319_164255,2026-03-19T16:43:59.838,51.622,1,RESPONSE,16,16,5 + 1 = ?,6,6,1,1631,68.379,,100.0,
P20260319_164255,2026-03-19T16:44:01.041,52.826,1,QUESTION_ONSET,17,17,4 - 0 = ?,,4,,,67.176,9.999,100.0,
P20260319_164255,2026-03-19T16:44:02.878,54.662,1,RESPONSE,17,17,4 - 0 = ?,4,4,1,1837,65.339,,100.0,
P20260319_164255,2026-03-19T16:44:04.093,55.877,1,QUESTION_ONSET,18,18,6 + 3 = ?,,9,,,64.124,9.999,100.0,
P20260319_164255,2026-03-19T16:44:05.570,57.354,1,RESPONSE,18,18,6 + 3 = ?,9,9,1,1478,62.647,,100.0,
P20260319_164255,2026-03-19T16:44:06.778,58.562,1,QUESTION_ONSET,19,19,8 - 5 = ?,,3,,,61.439,9.999,100.0,
P20260319_164255,2026-03-19T16:44:10.175,61.959,1,RESPONSE,19,19,8 - 5 = ?,3,3,1,3397,58.042,,100.0,
P20260319_164255,2026-03-19T16:44:11.391,63.175,1,QUESTION_ONSET,20,20,1 - 0 = ?,,1,,,56.826,9.999,100.0,
P20260319_164255,2026-03-19T16:44:13.859,65.644,1,RESPONSE,20,20,1 - 0 = ?,1,1,1,2469,54.358,,100.0,
P20260319_164255,2026-03-19T16:44:15.075,66.859,1,QUESTION_ONSET,21,21,6 - 1 = ?,,5,,,53.142,9.999,100.0,
P20260319_164255,2026-03-19T16:44:17.494,69.278,1,RESPONSE,21,21,6 - 1 = ?,5,5,1,2419,50.723,,100.0,
P20260319_164255,2026-03-19T16:44:18.696,70.481,1,QUESTION_ONSET,22,22,4 + 1 = ?,,5,,,49.521,9.999,100.0,
P20260319_164255,2026-03-19T16:44:20.389,72.173,1,RESPONSE,22,22,4 + 1 = ?,5,5,1,1693,47.828,,100.0,
P20260319_164255,2026-03-19T16:44:21.593,73.377,1,QUESTION_ONSET,23,23,9 - 4 = ?,,5,,,46.624,9.999,100.0,
P20260319_164255,2026-03-19T16:44:23.577,75.362,1,RESPONSE,23,23,9 - 4 = ?,5,5,1,1984,44.64,,100.0,
P20260319_164255,2026-03-19T16:44:24.791,76.575,1,QUESTION_ONSET,24,24,1 + 3 = ?,,4,,,43.426,9.999,100.0,
P20260319_164255,2026-03-19T16:44:27.262,79.046,1,RESPONSE,24,24,1 + 3 = ?,4,4,1,2471,40.955,,100.0,
