Timestamp_Beijing,HR,GSR,HR_baseline,GSR_baseline
'2026-03-15 15:22:15,88,192,85.84959816,167.847302
'2026-03-15 15:22:15,88,179,,
'2026-03-15 15:22:15,88,177,,
'2026-03-15 15:22:15,88,196,,
'2026-03-15 15:22:15,88,181,,
'2026-03-15 15:22:16,88,178,,
'2026-03-15 15:22:16,88,197,,
'2026-03-15 15:22:16,88,182,,
'2026-03-15 15:22:16,88,179,,
'2026-03-15 15:22:16,88,199,,
'2026-03-15 15:22:17,88,183,,
'2026-03-15 15:22:17,88,179,,
'2026-03-15 15:22:17,87,200,,
'2026-03-15 15:22:17,87,184,,
'2026-03-15 15:22:17,87,178,,
'2026-03-15 15:22:18,87,200,,
'2026-03-15 15:22:18,87,183,,
'2026-03-15 15:22:18,87,178,,
'2026-03-15 15:22:18,86,201,,
'2026-03-15 15:22:18,86,184,,
'2026-03-15 15:22:19,86,179,,
'2026-03-15 15:22:19,86,201,,
'2026-03-15 15:22:19,86,185,,
'2026-03-15 15:22:19,86,178,,
'2026-03-15 15:22:20,86,200,,
'2026-03-15 15:22:20,86,183,,
'2026-03-15 15:22:20,86,179,,
'2026-03-15 15:22:20,86,199,,
'2026-03-15 15:22:20,86,183,,
'2026-03-15 15:22:21,86,179,,
'2026-03-15 15:22:21,86,199,,
'2026-03-15 15:22:21,86,182,,
'2026-03-15 15:22:21,86,180,,
'2026-03-15 15:22:21,86,199,,
'2026-03-15 15:22:22,86,183,,
'2026-03-15 15:22:22,86,179,,
'2026-03-15 15:22:22,87,200,,
'2026-03-15 15:22:22,87,185,,
'2026-03-15 15:22:22,87,181,,
'2026-03-15 15:22:23,87,201,,
'2026-03-15 15:22:23,87,185,,
'2026-03-15 15:22:23,88,182,,
'2026-03-15 15:22:23,88,202,,
'2026-03-15 15:22:23,88,185,,
'2026-03-15 15:22:24,88,182,,
'2026-03-15 15:22:24,88,203,,
'2026-03-15 15:22:24,88,184,,
'2026-03-15 15:22:24,87,180,,
'2026-03-15 15:22:24,87,203,,
'2026-03-15 15:22:25,87,183,,
'2026-03-15 15:22:25,87,178,,
'2026-03-15 15:22:25,86,197,,
'2026-03-15 15:22:25,86,189,,
'2026-03-15 15:22:25,86,180,,
'2026-03-15 15:22:26,85,181,,
'2026-03-15 15:22:26,85,203,,
'2026-03-15 15:22:26,85,183,,
'2026-03-15 15:22:26,85,179,,
'2026-03-15 15:22:26,84,199,,
'2026-03-15 15:22:27,84,187,,
'2026-03-15 15:22:27,84,181,,
'2026-03-15 15:22:27,83,192,,
'2026-03-15 15:22:27,83,193,,
'2026-03-15 15:22:28,83,183,,
'2026-03-15 15:22:28,82,183,,
'2026-03-15 15:22:28,82,205,,
