Timestamp_Beijing,HR,GSR
'2026-03-15 15:27:04,92,108
'2026-03-15 15:27:04,90,144
'2026-03-15 15:27:06,0,101
'2026-03-15 15:27:06,0,115
'2026-03-15 15:27:06,0,140
'2026-03-15 15:27:07,0,103
'2026-03-15 15:27:07,90,115
'2026-03-15 15:27:07,92,135
'2026-03-15 15:27:07,90,109
'2026-03-15 15:27:07,91,128
'2026-03-15 15:27:08,91,132
'2026-03-15 15:27:08,92,113
'2026-03-15 15:27:08,93,137
'2026-03-15 15:27:08,95,129
'2026-03-15 15:27:08,95,112
'2026-03-15 15:27:09,93,134
'2026-03-15 15:27:09,95,117
'2026-03-15 15:27:09,93,112
'2026-03-15 15:27:09,93,140
'2026-03-15 15:27:09,93,106
'2026-03-15 15:27:10,91,109
'2026-03-15 15:27:10,92,145
'2026-03-15 15:27:10,90,99
'2026-03-15 15:27:10,92,104
'2026-03-15 15:27:10,92,138
'2026-03-15 15:27:11,92,89
'2026-03-15 15:27:11,90,99
'2026-03-15 15:27:11,89,134
'2026-03-15 15:27:11,89,87
'2026-03-15 15:27:12,91,95
'2026-03-15 15:27:12,91,131
'2026-03-15 15:27:12,91,85
'2026-03-15 15:27:12,91,90
'2026-03-15 15:27:12,92,128
'2026-03-15 15:27:13,92,84
'2026-03-15 15:27:13,91,93
'2026-03-15 15:27:13,91,128
'2026-03-15 15:27:13,90,92
'2026-03-15 15:27:13,90,102
'2026-03-15 15:27:14,92,134
'2026-03-15 15:27:14,91,108
'2026-03-15 15:27:14,90,127
'2026-03-15 15:27:14,90,134
'2026-03-15 15:27:14,91,114
'2026-03-15 15:27:15,92,137
'2026-03-15 15:27:15,93,125
'2026-03-15 15:27:15,92,118
'2026-03-15 15:27:15,94,152
'2026-03-15 15:27:15,96,118
'2026-03-15 15:27:16,95,117
'2026-03-15 15:27:16,94,159
'2026-03-15 15:27:16,95,114
'2026-03-15 15:27:16,96,121
'2026-03-15 15:27:16,96,162
'2026-03-15 15:27:17,94,113
'2026-03-15 15:27:17,94,126
'2026-03-15 15:27:17,95,155
'2026-03-15 15:27:17,94,115
'2026-03-15 15:27:17,94,135
'2026-03-15 15:27:18,93,146
'2026-03-15 15:27:18,91,120
'2026-03-15 15:27:18,92,148
'2026-03-15 15:27:18,91,128
'2026-03-15 15:27:18,93,121
'2026-03-15 15:27:19,91,159
'2026-03-15 15:27:19,91,115
'2026-03-15 15:27:19,91,123
'2026-03-15 15:27:19,91,161
'2026-03-15 15:27:20,92,111
'2026-03-15 15:27:20,93,123
'2026-03-15 15:27:20,92,159
'2026-03-15 15:27:20,91,115
'2026-03-15 15:27:20,91,128
'2026-03-15 15:27:21,93,153
'2026-03-15 15:27:21,93,117
'2026-03-15 15:27:21,93,132
'2026-03-15 15:27:21,93,147
'2026-03-15 15:27:21,91,118
'2026-03-15 15:27:22,93,140
'2026-03-15 15:27:22,94,138
'2026-03-15 15:27:22,93,118
'2026-03-15 15:27:22,93,142
'2026-03-15 15:27:22,94,129
'2026-03-15 15:27:23,92,119
'2026-03-15 15:27:23,94,152
'2026-03-15 15:27:23,94,120
'2026-03-15 15:27:23,94,119
'2026-03-15 15:27:23,94,158
'2026-03-15 15:27:24,95,113
'2026-03-15 15:27:24,96,118
'2026-03-15 15:27:24,98,164
'2026-03-15 15:27:24,97,110
'2026-03-15 15:27:24,99,117
'2026-03-15 15:27:25,99,157
'2026-03-15 15:27:25,98,110
'2026-03-15 15:27:25,98,126
