participant_id,timestamp,t_rel_s,level,event,question_index_global,question_index_level,question_display,selected_answer,correct_answer,is_correct,rt_ms,level_time_left_s,question_time_left_s,accuracy_pct,note
P20260315_152722,2026-03-15T15:27:45.514,0.0,1,EXPERIMENT_START,0,0,,,,,,,,,
P20260315_152722,2026-03-15T15:27:45.516,0.001,1,LEVEL_START,0,0,,,,,,120.0,,,level_1
P20260315_152722,2026-03-15T15:27:45.517,0.002,1,QUESTION_ONSET,1,1,7 - 2 = ?,,5,,,119.999,10.0,,
P20260315_152722,2026-03-15T15:27:49.397,3.883,1,RESPONSE,1,1,7 - 2 = ?,5,5,1,3880,116.119,,100.0,
P20260315_152722,2026-03-15T15:27:50.608,5.094,1,QUESTION_ONSET,2,2,6 + 1 = ?,,7,,,114.908,10.0,100.0,
P20260315_152722,2026-03-15T15:27:52.971,7.457,1,RESPONSE,2,2,6 + 1 = ?,7,7,1,2363,112.545,,100.0,
P20260315_152722,2026-03-15T15:27:54.183,8.669,1,QUESTION_ONSET,3,3,7 - 0 = ?,,7,,,111.332,10.0,100.0,
P20260315_152722,2026-03-15T15:27:56.923,11.409,1,RESPONSE,3,3,7 - 0 = ?,7,7,1,2740,108.593,,100.0,
P20260315_152722,2026-03-15T15:27:58.136,12.622,1,QUESTION_ONSET,4,4,4 + 2 = ?,,6,,,107.38,10.0,100.0,
P20260315_152722,2026-03-15T15:28:00.691,15.177,1,RESPONSE,4,4,4 + 2 = ?,6,6,1,2555,104.825,,100.0,
P20260315_152722,2026-03-15T15:28:01.895,16.381,1,QUESTION_ONSET,5,5,3 - 2 = ?,,1,,,103.621,9.999,100.0,
P20260315_152722,2026-03-15T15:28:04.186,18.672,1,RESPONSE,5,5,3 - 2 = ?,1,1,1,2292,101.329,,100.0,
P20260315_152722,2026-03-15T15:28:05.388,19.874,1,QUESTION_ONSET,6,6,7 - 0 = ?,,7,,,100.127,9.999,100.0,
P20260315_152722,2026-03-15T15:28:07.729,22.214,1,RESPONSE,6,6,7 - 0 = ?,7,7,1,2340,97.787,,100.0,
P20260315_152722,2026-03-15T15:28:08.944,23.43,1,QUESTION_ONSET,7,7,2 + 4 = ?,,6,,,96.572,10.0,100.0,
P20260315_152722,2026-03-15T15:28:11.221,25.706,1,RESPONSE,7,7,2 + 4 = ?,6,6,1,2277,94.295,,100.0,
P20260315_152722,2026-03-15T15:28:12.428,26.914,1,QUESTION_ONSET,8,8,7 - 3 = ?,,4,,,93.087,9.999,100.0,
P20260315_152722,2026-03-15T15:28:15.439,29.924,1,RESPONSE,8,8,7 - 3 = ?,4,4,1,3010,90.077,,100.0,
P20260315_152722,2026-03-15T15:28:16.654,31.139,1,QUESTION_ONSET,9,9,4 - 3 = ?,,1,,,88.862,10.0,100.0,
P20260315_152722,2026-03-15T15:28:19.106,33.591,1,RESPONSE,9,9,4 - 3 = ?,1,1,1,2452,86.41,,100.0,
P20260315_152722,2026-03-15T15:28:20.321,34.807,1,QUESTION_ONSET,10,10,2 + 2 = ?,,4,,,85.194,10.0,100.0,
P20260315_152722,2026-03-15T15:28:22.607,37.093,1,RESPONSE,10,10,2 + 2 = ?,4,4,1,2286,82.908,,100.0,
P20260315_152722,2026-03-15T15:28:23.815,38.301,1,QUESTION_ONSET,11,11,5 - 4 = ?,,1,,,81.701,10.0,100.0,
P20260315_152722,2026-03-15T15:28:25.639,40.125,1,RESPONSE,11,11,5 - 4 = ?,1,1,1,1824,79.877,,100.0,
