Timestamp_Beijing,HR,GSR,HR_Baseline,GSR_Baseline
'2026-03-13 15:22:03,65,186,65.88076079,179.4974396
'2026-03-13 15:22:03,65,185,,
'2026-03-13 15:22:03,65,185,,
'2026-03-13 15:22:03,64,186,,
'2026-03-13 15:22:03,64,185,,
'2026-03-13 15:22:04,64,185,,
'2026-03-13 15:22:04,64,184,,
'2026-03-13 15:22:04,64,185,,
'2026-03-13 15:22:04,64,186,,
'2026-03-13 15:22:04,64,185,,
'2026-03-13 15:22:05,64,186,,
'2026-03-13 15:22:05,64,185,,
'2026-03-13 15:22:05,65,185,,
'2026-03-13 15:22:05,65,185,,
'2026-03-13 15:22:05,65,186,,
'2026-03-13 15:22:06,65,186,,
'2026-03-13 15:22:06,65,185,,
'2026-03-13 15:22:06,65,186,,
'2026-03-13 15:22:06,65,186,,
'2026-03-13 15:22:07,65,186,,
'2026-03-13 15:22:07,65,186,,
'2026-03-13 15:22:07,65,187,,
'2026-03-13 15:22:07,65,186,,
'2026-03-13 15:22:07,65,186,,
'2026-03-13 15:22:08,65,186,,
'2026-03-13 15:22:08,65,187,,
'2026-03-13 15:22:08,65,187,,
'2026-03-13 15:22:08,65,186,,
'2026-03-13 15:22:08,65,186,,
'2026-03-13 15:22:09,65,186,,
'2026-03-13 15:22:09,65,187,,
'2026-03-13 15:22:09,65,186,,
'2026-03-13 15:22:09,65,186,,
'2026-03-13 15:22:09,65,186,,
'2026-03-13 15:22:10,65,187,,
'2026-03-13 15:22:10,65,186,,
'2026-03-13 15:22:10,65,187,,
'2026-03-13 15:22:10,65,186,,
'2026-03-13 15:22:10,65,186,,
'2026-03-13 15:22:11,64,186,,
'2026-03-13 15:22:11,64,186,,
'2026-03-13 15:22:11,64,186,,
'2026-03-13 15:22:11,64,185,,
'2026-03-13 15:22:11,64,185,,
'2026-03-13 15:22:12,64,186,,
'2026-03-13 15:22:12,64,184,,
'2026-03-13 15:22:12,64,184,,
'2026-03-13 15:22:12,64,184,,
'2026-03-13 15:22:12,65,185,,
'2026-03-13 15:22:13,65,184,,
'2026-03-13 15:22:13,65,184,,
'2026-03-13 15:22:13,65,185,,
'2026-03-13 15:22:13,66,185,,
'2026-03-13 15:22:13,66,184,,
'2026-03-13 15:22:14,66,184,,
'2026-03-13 15:22:14,66,184,,
'2026-03-13 15:22:14,67,185,,
'2026-03-13 15:22:14,67,183,,
'2026-03-13 15:22:15,67,184,,
'2026-03-13 15:22:15,67,184,,
'2026-03-13 15:22:15,66,183,,
'2026-03-13 15:22:15,66,184,,
'2026-03-13 15:22:15,66,184,,
'2026-03-13 15:22:16,66,183,,
'2026-03-13 15:22:16,66,182,,
'2026-03-13 15:22:16,66,182,,
'2026-03-13 15:22:16,64,184,,
'2026-03-13 15:22:16,64,183,,
'2026-03-13 15:22:17,64,182,,
'2026-03-13 15:22:17,64,183,,
'2026-03-13 15:22:17,64,184,,
'2026-03-13 15:22:17,64,184,,
'2026-03-13 15:22:17,64,183,,
'2026-03-13 15:22:18,64,183,,
'2026-03-13 15:22:18,64,183,,
'2026-03-13 15:22:18,64,183,,
'2026-03-13 15:22:18,64,184,,
'2026-03-13 15:22:18,64,183,,
'2026-03-13 15:22:19,64,183,,
'2026-03-13 15:22:19,64,183,,
'2026-03-13 15:22:19,63,184,,
'2026-03-13 15:22:19,63,185,,
'2026-03-13 15:22:19,63,184,,
'2026-03-13 15:22:20,63,183,,
'2026-03-13 15:22:20,63,184,,
'2026-03-13 15:22:20,63,184,,
'2026-03-13 15:22:20,63,184,,
'2026-03-13 15:22:20,63,184,,
'2026-03-13 15:22:21,63,185,,
'2026-03-13 15:22:21,63,184,,
'2026-03-13 15:22:21,62,185,,
'2026-03-13 15:22:21,62,184,,
'2026-03-13 15:22:22,62,184,,
'2026-03-13 15:22:22,62,184,,
'2026-03-13 15:22:22,62,184,,
'2026-03-13 15:22:22,62,185,,
'2026-03-13 15:22:22,62,185,,
'2026-03-13 15:22:23,62,184,,
'2026-03-13 15:22:23,62,184,,
'2026-03-13 15:22:23,62,185,,
'2026-03-13 15:22:23,62,184,,
'2026-03-13 15:22:23,62,184,,
'2026-03-13 15:22:24,62,184,,
'2026-03-13 15:22:24,62,184,,
'2026-03-13 15:22:24,62,183,,
'2026-03-13 15:22:24,62,183,,
'2026-03-13 15:22:24,62,183,,
'2026-03-13 15:22:25,62,184,,
'2026-03-13 15:22:25,62,184,,
'2026-03-13 15:22:25,62,183,,
'2026-03-13 15:22:25,62,183,,
'2026-03-13 15:22:25,62,183,,
'2026-03-13 15:22:26,63,184,,
'2026-03-13 15:22:26,63,183,,
'2026-03-13 15:22:26,63,183,,
'2026-03-13 15:22:26,63,183,,
'2026-03-13 15:22:26,63,184,,
'2026-03-13 15:22:27,63,184,,
'2026-03-13 15:22:27,63,184,,
'2026-03-13 15:22:27,63,183,,
'2026-03-13 15:22:27,64,184,,
'2026-03-13 15:22:27,64,184,,
'2026-03-13 15:22:28,64,184,,
'2026-03-13 15:22:28,64,183,,
'2026-03-13 15:22:28,66,184,,
'2026-03-13 15:22:28,66,184,,
'2026-03-13 15:22:28,66,184,,
'2026-03-13 15:22:29,66,183,,
'2026-03-13 15:22:29,66,184,,
'2026-03-13 15:22:29,67,185,,
'2026-03-13 15:22:29,67,184,,
'2026-03-13 15:22:30,67,183,,
'2026-03-13 15:22:30,67,184,,
'2026-03-13 15:22:30,67,184,,
'2026-03-13 15:22:30,67,184,,
'2026-03-13 15:22:30,67,184,,
'2026-03-13 15:22:31,67,183,,
'2026-03-13 15:22:31,67,184,,
'2026-03-13 15:22:31,67,184,,
'2026-03-13 15:22:31,67,183,,
'2026-03-13 15:22:31,67,184,,
'2026-03-13 15:22:32,67,184,,
'2026-03-13 15:22:32,66,184,,
'2026-03-13 15:22:32,66,184,,
'2026-03-13 15:22:32,66,184,,
'2026-03-13 15:22:32,66,183,,
'2026-03-13 15:22:33,66,184,,
'2026-03-13 15:22:33,65,184,,
'2026-03-13 15:22:33,65,185,,
'2026-03-13 15:22:33,65,184,,
'2026-03-13 15:22:33,65,184,,
'2026-03-13 15:22:34,65,184,,
'2026-03-13 15:22:34,65,185,,
'2026-03-13 15:22:34,65,184,,
'2026-03-13 15:22:34,65,184,,
'2026-03-13 15:22:34,65,184,,
'2026-03-13 15:22:35,66,185,,
'2026-03-13 15:22:35,66,183,,
'2026-03-13 15:22:35,66,184,,
'2026-03-13 15:22:35,66,184,,
'2026-03-13 15:22:35,66,185,,
'2026-03-13 15:22:36,66,184,,
'2026-03-13 15:22:36,66,185,,
'2026-03-13 15:22:36,66,185,,
'2026-03-13 15:22:36,66,185,,
'2026-03-13 15:22:37,66,185,,
'2026-03-13 15:22:37,66,185,,
'2026-03-13 15:22:37,66,185,,
'2026-03-13 15:22:37,66,184,,
'2026-03-13 15:22:37,65,185,,
'2026-03-13 15:22:38,65,185,,
'2026-03-13 15:22:38,65,185,,
'2026-03-13 15:22:38,65,184,,
'2026-03-13 15:22:38,65,184,,
'2026-03-13 15:22:38,65,186,,
'2026-03-13 15:22:39,65,184,,
'2026-03-13 15:22:39,65,185,,
'2026-03-13 15:22:39,65,185,,
'2026-03-13 15:22:39,65,186,,
'2026-03-13 15:22:39,65,185,,
'2026-03-13 15:22:40,65,185,,
'2026-03-13 15:22:40,65,185,,
'2026-03-13 15:22:40,65,184,,
'2026-03-13 15:22:40,65,183,,
'2026-03-13 15:22:40,65,182,,
'2026-03-13 15:22:41,65,183,,
'2026-03-13 15:22:41,65,183,,
'2026-03-13 15:22:41,64,182,,
'2026-03-13 15:22:41,64,182,,
'2026-03-13 15:22:41,64,182,,
'2026-03-13 15:22:42,64,182,,
'2026-03-13 15:22:42,64,182,,
'2026-03-13 15:22:42,64,182,,
'2026-03-13 15:22:42,64,182,,
'2026-03-13 15:22:42,64,181,,
'2026-03-13 15:22:43,64,181,,
'2026-03-13 15:22:43,64,181,,
'2026-03-13 15:22:43,64,182,,
'2026-03-13 15:22:43,64,180,,
'2026-03-13 15:22:44,64,181,,
'2026-03-13 15:22:44,64,181,,
'2026-03-13 15:22:44,64,181,,
'2026-03-13 15:22:44,64,179,,
'2026-03-13 15:22:44,64,180,,
'2026-03-13 15:22:45,64,181,,
'2026-03-13 15:22:45,64,181,,
'2026-03-13 15:22:45,64,183,,
'2026-03-13 15:22:45,64,183,,
'2026-03-13 15:22:45,64,184,,
'2026-03-13 15:22:46,64,185,,
'2026-03-13 15:22:46,63,187,,
'2026-03-13 15:22:46,63,188,,
'2026-03-13 15:22:46,63,189,,
'2026-03-13 15:22:46,63,189,,
'2026-03-13 15:22:47,63,189,,
'2026-03-13 15:22:47,63,190,,
'2026-03-13 15:22:47,63,189,,
'2026-03-13 15:22:47,63,189,,
'2026-03-13 15:22:47,63,189,,
'2026-03-13 15:22:48,63,189,,
'2026-03-13 15:22:48,63,189,,
'2026-03-13 15:22:48,63,189,,
'2026-03-13 15:22:48,63,189,,
'2026-03-13 15:22:48,63,189,,
'2026-03-13 15:22:49,63,190,,
'2026-03-13 15:22:49,63,189,,
'2026-03-13 15:22:49,63,189,,
'2026-03-13 15:22:49,63,188,,
'2026-03-13 15:22:49,64,188,,
'2026-03-13 15:22:50,64,188,,
'2026-03-13 15:22:50,64,188,,
'2026-03-13 15:22:50,64,187,,
'2026-03-13 15:22:50,65,188,,
'2026-03-13 15:22:50,65,187,,
'2026-03-13 15:22:51,65,188,,
'2026-03-13 15:22:51,65,187,,
'2026-03-13 15:22:51,66,187,,
'2026-03-13 15:22:51,66,188,,
'2026-03-13 15:22:52,66,187,,
'2026-03-13 15:22:52,66,186,,
'2026-03-13 15:22:52,66,186,,
'2026-03-13 15:22:52,67,187,,
'2026-03-13 15:22:52,67,186,,
'2026-03-13 15:22:53,67,185,,
'2026-03-13 15:22:53,67,185,,
'2026-03-13 15:22:53,66,186,,
'2026-03-13 15:22:53,66,185,,
'2026-03-13 15:22:53,66,185,,
'2026-03-13 15:22:54,66,185,,
'2026-03-13 15:22:54,66,185,,
'2026-03-13 15:22:54,66,185,,
'2026-03-13 15:22:54,66,184,,
'2026-03-13 15:22:54,66,185,,
'2026-03-13 15:22:55,66,184,,
'2026-03-13 15:22:55,66,185,,
'2026-03-13 15:22:55,66,184,,
'2026-03-13 15:22:55,66,184,,
'2026-03-13 15:22:55,66,184,,
'2026-03-13 15:22:56,66,184,,
'2026-03-13 15:22:56,66,184,,
'2026-03-13 15:22:56,66,184,,
'2026-03-13 15:22:56,66,183,,
'2026-03-13 15:22:56,66,183,,
'2026-03-13 15:22:57,66,183,,
'2026-03-13 15:22:57,66,184,,
'2026-03-13 15:22:57,66,183,,
'2026-03-13 15:22:57,66,183,,
'2026-03-13 15:22:57,66,183,,
'2026-03-13 15:22:58,66,183,,
'2026-03-13 15:22:58,66,182,,
'2026-03-13 15:22:58,66,182,,
'2026-03-13 15:22:58,66,183,,
'2026-03-13 15:22:59,66,183,,
'2026-03-13 15:22:59,66,182,,
'2026-03-13 15:22:59,66,183,,
'2026-03-13 15:22:59,66,183,,
'2026-03-13 15:22:59,66,183,,
'2026-03-13 15:23:00,66,182,,
'2026-03-13 15:23:00,66,182,,
'2026-03-13 15:23:00,66,183,,
'2026-03-13 15:23:00,66,182,,
'2026-03-13 15:23:00,65,183,,
'2026-03-13 15:23:01,65,183,,
'2026-03-13 15:23:01,65,182,,
'2026-03-13 15:23:01,65,182,,
'2026-03-13 15:23:01,66,183,,
'2026-03-13 15:23:01,66,182,,
'2026-03-13 15:23:02,66,182,,
'2026-03-13 15:23:02,66,181,,
'2026-03-13 15:23:02,66,183,,
'2026-03-13 15:23:02,66,181,,
'2026-03-13 15:23:02,66,182,,
'2026-03-13 15:23:03,66,181,,
'2026-03-13 15:23:03,66,182,,
'2026-03-13 15:23:03,66,182,,
'2026-03-13 15:23:03,66,181,,
'2026-03-13 15:23:03,66,181,,
'2026-03-13 15:23:04,66,182,,
'2026-03-13 15:23:04,66,183,,
'2026-03-13 15:23:04,66,181,,
'2026-03-13 15:23:04,66,181,,
'2026-03-13 15:23:04,66,182,,
'2026-03-13 15:23:05,67,182,,
'2026-03-13 15:23:05,67,181,,
'2026-03-13 15:23:05,67,181,,
'2026-03-13 15:23:05,67,181,,
'2026-03-13 15:23:05,68,181,,
'2026-03-13 15:23:06,68,181,,
'2026-03-13 15:23:06,68,182,,
'2026-03-13 15:23:06,68,182,,
'2026-03-13 15:23:06,68,181,,
'2026-03-13 15:23:07,67,182,,
'2026-03-13 15:23:07,67,182,,
'2026-03-13 15:23:07,67,181,,
'2026-03-13 15:23:07,67,181,,
'2026-03-13 15:23:07,67,181,,
'2026-03-13 15:23:08,66,182,,
'2026-03-13 15:23:08,66,181,,
'2026-03-13 15:23:08,66,181,,
'2026-03-13 15:23:08,66,181,,
'2026-03-13 15:23:08,66,182,,
'2026-03-13 15:23:09,66,182,,
'2026-03-13 15:23:09,66,181,,
'2026-03-13 15:23:09,66,181,,
'2026-03-13 15:23:09,67,182,,
'2026-03-13 15:23:09,67,181,,
'2026-03-13 15:23:10,67,181,,
'2026-03-13 15:23:10,67,182,,
'2026-03-13 15:23:10,66,182,,
'2026-03-13 15:23:10,66,181,,
'2026-03-13 15:23:10,66,181,,
'2026-03-13 15:23:11,66,181,,
'2026-03-13 15:23:11,66,181,,
'2026-03-13 15:23:11,66,181,,
'2026-03-13 15:23:11,66,181,,
'2026-03-13 15:23:11,66,181,,
'2026-03-13 15:23:12,66,181,,
'2026-03-13 15:23:12,66,181,,
'2026-03-13 15:23:12,66,182,,
'2026-03-13 15:23:12,66,182,,
'2026-03-13 15:23:12,66,181,,
'2026-03-13 15:23:13,66,181,,
'2026-03-13 15:23:13,67,182,,
'2026-03-13 15:23:13,67,181,,
'2026-03-13 15:23:13,67,181,,
'2026-03-13 15:23:14,67,181,,
'2026-03-13 15:23:14,66,182,,
'2026-03-13 15:23:14,66,179,,
'2026-03-13 15:23:14,66,178,,
'2026-03-13 15:23:14,66,178,,
'2026-03-13 15:23:15,66,178,,
'2026-03-13 15:23:15,66,178,,
'2026-03-13 15:23:15,66,177,,
'2026-03-13 15:23:15,66,177,,
'2026-03-13 15:23:15,66,176,,
'2026-03-13 15:23:16,66,184,,
'2026-03-13 15:23:16,66,201,,
'2026-03-13 15:23:16,66,204,,
'2026-03-13 15:23:16,66,202,,
'2026-03-13 15:23:16,66,201,,
'2026-03-13 15:23:17,66,201,,
'2026-03-13 15:23:17,66,200,,
'2026-03-13 15:23:17,66,199,,
'2026-03-13 15:23:17,66,199,,
'2026-03-13 15:23:17,66,201,,
'2026-03-13 15:23:18,66,202,,
'2026-03-13 15:23:18,66,201,,
'2026-03-13 15:23:18,66,202,,
'2026-03-13 15:23:18,66,203,,
'2026-03-13 15:23:18,66,205,,
'2026-03-13 15:23:19,66,202,,
'2026-03-13 15:23:19,66,203,,
