Timestamp_Beijing,HR,GSR
'2026-03-13 15:29:33,69,122
'2026-03-13 15:29:33,69,121
'2026-03-13 15:29:33,69,121
'2026-03-13 15:29:33,69,122
'2026-03-13 15:29:33,69,124
'2026-03-13 15:29:33,69,122
'2026-03-13 15:29:33,69,122
'2026-03-13 15:29:33,69,121
'2026-03-13 15:29:35,0,105
'2026-03-13 15:29:35,0,102
'2026-03-13 15:29:36,0,100
'2026-03-13 15:29:36,0,99
'2026-03-13 15:29:36,154,96
'2026-03-13 15:29:36,154,99
'2026-03-13 15:29:36,154,102
'2026-03-13 15:29:37,152,104
'2026-03-13 15:29:37,155,103
'2026-03-13 15:29:37,155,104
'2026-03-13 15:29:37,156,106
'2026-03-13 15:29:37,159,105
'2026-03-13 15:29:38,159,105
'2026-03-13 15:29:38,159,107
'2026-03-13 15:29:38,156,109
'2026-03-13 15:29:38,160,107
'2026-03-13 15:29:38,160,107
'2026-03-13 15:29:39,160,107
'2026-03-13 15:29:39,160,109
'2026-03-13 15:29:39,147,110
'2026-03-13 15:29:39,147,109
'2026-03-13 15:29:39,145,110
'2026-03-13 15:29:40,145,110
'2026-03-13 15:29:40,139,111
'2026-03-13 15:29:40,139,111
'2026-03-13 15:29:40,139,112
'2026-03-13 15:29:40,139,112
'2026-03-13 15:29:41,127,113
'2026-03-13 15:29:41,127,113
'2026-03-13 15:29:41,127,114
'2026-03-13 15:29:41,127,114
'2026-03-13 15:29:42,117,114
'2026-03-13 15:29:42,117,115
'2026-03-13 15:29:42,117,115
'2026-03-13 15:29:42,117,115
'2026-03-13 15:29:42,107,115
'2026-03-13 15:29:43,107,116
'2026-03-13 15:29:43,107,116
'2026-03-13 15:29:43,107,115
'2026-03-13 15:29:43,99,116
'2026-03-13 15:29:43,99,117
'2026-03-13 15:29:44,99,116
'2026-03-13 15:29:44,99,116
'2026-03-13 15:29:44,92,117
'2026-03-13 15:29:44,92,117
'2026-03-13 15:29:44,92,117
'2026-03-13 15:29:45,92,117
'2026-03-13 15:29:45,88,118
'2026-03-13 15:29:45,88,118
'2026-03-13 15:29:45,88,117
'2026-03-13 15:29:45,88,117
'2026-03-13 15:29:46,81,118
'2026-03-13 15:29:46,81,117
'2026-03-13 15:29:46,81,118
'2026-03-13 15:29:46,81,117
'2026-03-13 15:29:46,80,118
'2026-03-13 15:29:47,80,118
'2026-03-13 15:29:47,80,118
'2026-03-13 15:29:47,80,117
'2026-03-13 15:29:47,76,119
'2026-03-13 15:29:47,76,119
'2026-03-13 15:29:48,76,118
'2026-03-13 15:29:48,76,117
'2026-03-13 15:29:48,73,119
'2026-03-13 15:29:48,73,120
'2026-03-13 15:29:49,73,119
'2026-03-13 15:29:49,73,119
'2026-03-13 15:29:49,73,119
'2026-03-13 15:29:49,72,121
'2026-03-13 15:29:49,72,119
'2026-03-13 15:29:50,72,119
'2026-03-13 15:29:50,72,120
'2026-03-13 15:29:50,71,120
'2026-03-13 15:29:50,71,120
'2026-03-13 15:29:50,71,120
'2026-03-13 15:29:51,71,120
'2026-03-13 15:29:51,71,120
'2026-03-13 15:29:51,70,120
'2026-03-13 15:29:51,70,120
'2026-03-13 15:29:51,70,120
'2026-03-13 15:29:52,70,121
'2026-03-13 15:29:52,70,120
'2026-03-13 15:29:52,70,121
'2026-03-13 15:29:52,72,121
'2026-03-13 15:29:52,72,120
'2026-03-13 15:29:53,72,121
'2026-03-13 15:29:53,73,121
'2026-03-13 15:29:53,73,122
'2026-03-13 15:29:53,77,121
'2026-03-13 15:29:53,77,120
'2026-03-13 15:29:54,77,121
'2026-03-13 15:29:54,81,122
'2026-03-13 15:29:54,87,121
'2026-03-13 15:29:54,87,121
'2026-03-13 15:29:54,87,121
'2026-03-13 15:29:55,92,122
'2026-03-13 15:29:55,92,121
'2026-03-13 15:29:55,101,121
'2026-03-13 15:29:55,101,122
'2026-03-13 15:29:55,109,124
'2026-03-13 15:29:56,109,121
'2026-03-13 15:29:56,109,121
'2026-03-13 15:29:56,109,120
'2026-03-13 15:29:56,110,121
'2026-03-13 15:29:57,110,119
'2026-03-13 15:29:57,110,119
'2026-03-13 15:29:57,110,119
'2026-03-13 15:29:57,109,119
'2026-03-13 15:29:57,109,118
'2026-03-13 15:29:58,109,118
'2026-03-13 15:29:58,109,118
'2026-03-13 15:29:58,104,117
'2026-03-13 15:29:58,104,114
'2026-03-13 15:29:58,104,112
'2026-03-13 15:29:59,104,110
'2026-03-13 15:29:59,102,108
'2026-03-13 15:29:59,102,105
'2026-03-13 15:29:59,100,102
'2026-03-13 15:29:59,100,100
'2026-03-13 15:30:00,103,101
'2026-03-13 15:30:00,103,99
'2026-03-13 15:30:00,103,97
'2026-03-13 15:30:00,103,95
'2026-03-13 15:30:00,94,94
'2026-03-13 15:30:01,94,91
'2026-03-13 15:30:01,94,89
'2026-03-13 15:30:01,94,87
'2026-03-13 15:30:01,91,87
'2026-03-13 15:30:01,91,86
'2026-03-13 15:30:02,91,86
'2026-03-13 15:30:02,91,86
'2026-03-13 15:30:02,85,87
'2026-03-13 15:30:02,85,87
'2026-03-13 15:30:02,85,85
'2026-03-13 15:30:03,85,85
'2026-03-13 15:30:03,81,86
'2026-03-13 15:30:03,81,88
'2026-03-13 15:30:03,81,87
