participant_id,timestamp,t_rel_s,level,event,question_index_global,question_index_level,question_display,selected_answer,correct_answer,is_correct,rt_ms,level_time_left_s,question_time_left_s,accuracy_pct,note
P20260313_152956,2026-03-13T15:30:03.461,0.0,1,EXPERIMENT_START,0,0,,,,,,,,,
P20260313_152956,2026-03-13T15:30:03.462,0.001,1,LEVEL_START,0,0,,,,,,120.0,,,level_1
P20260313_152956,2026-03-13T15:30:03.464,0.002,1,QUESTION_ONSET,1,1,9 - 3 = ?,,6,,,119.999,10.0,,
P20260313_152956,2026-03-13T15:30:06.546,3.085,1,RESPONSE,1,1,9 - 3 = ?,6,6,1,3082,116.916,,100.0,
P20260313_152956,2026-03-13T15:30:07.749,4.288,1,QUESTION_ONSET,2,2,3 + 4 = ?,,7,,,115.713,10.0,100.0,
P20260313_152956,2026-03-13T15:30:09.394,5.933,1,RESPONSE,2,2,3 + 4 = ?,7,7,1,1645,114.069,,100.0,
P20260313_152956,2026-03-13T15:30:10.599,7.137,1,QUESTION_ONSET,3,3,5 + 4 = ?,,9,,,112.864,9.999,100.0,
P20260313_152956,2026-03-13T15:30:12.138,8.676,1,RESPONSE,3,3,5 + 4 = ?,9,9,1,1539,111.325,,100.0,
P20260313_152956,2026-03-13T15:30:13.349,9.888,1,QUESTION_ONSET,4,4,7 - 6 = ?,,1,,,110.113,10.0,100.0,
P20260313_152956,2026-03-13T15:30:15.047,11.585,1,RESPONSE,4,4,7 - 6 = ?,1,1,1,1697,108.416,,100.0,
P20260313_152956,2026-03-13T15:30:16.250,12.789,1,QUESTION_ONSET,5,5,3 - 2 = ?,,1,,,107.212,9.999,100.0,
P20260313_152956,2026-03-13T15:30:17.470,14.009,1,RESPONSE,5,5,3 - 2 = ?,1,1,1,1220,105.992,,100.0,
P20260313_152956,2026-03-13T15:30:18.674,15.213,1,QUESTION_ONSET,6,6,6 - 3 = ?,,3,,,104.788,9.999,100.0,
P20260313_152956,2026-03-13T15:30:20.548,17.087,1,RESPONSE,6,6,6 - 3 = ?,3,3,1,1874,102.915,,100.0,
P20260313_152956,2026-03-13T15:30:21.757,18.296,1,QUESTION_ONSET,7,7,7 - 4 = ?,,3,,,101.705,10.0,100.0,
P20260313_152956,2026-03-13T15:30:23.038,19.577,1,RESPONSE,7,7,7 - 4 = ?,3,3,1,1281,100.424,,100.0,
P20260313_152956,2026-03-13T15:30:24.255,20.794,1,QUESTION_ONSET,8,8,8 - 4 = ?,,4,,,99.207,9.999,100.0,
P20260313_152956,2026-03-13T15:30:25.671,22.21,1,RESPONSE,8,8,8 - 4 = ?,4,4,1,1416,97.792,,100.0,
P20260313_152956,2026-03-13T15:30:26.888,23.427,1,QUESTION_ONSET,9,9,7 - 4 = ?,,3,,,96.574,10.0,100.0,
P20260313_152956,2026-03-13T15:30:28.133,24.672,1,RESPONSE,9,9,7 - 4 = ?,3,3,1,1245,95.329,,100.0,
