Timestamp_Beijing,HR,GSR
'2026-03-15 14:24:58,78,175
'2026-03-15 14:24:58,78,166
'2026-03-15 14:24:58,79,197
'2026-03-15 14:24:58,79,173
'2026-03-15 14:24:58,79,167
'2026-03-15 14:24:59,80,182
'2026-03-15 14:24:59,80,189
'2026-03-15 14:24:59,80,174
'2026-03-15 14:24:59,80,167
'2026-03-15 14:24:59,81,196
'2026-03-15 14:25:00,81,174
'2026-03-15 14:25:00,81,166
'2026-03-15 14:25:00,81,168
'2026-03-15 14:25:00,81,198
'2026-03-15 14:25:00,81,174
'2026-03-15 14:25:01,81,165
'2026-03-15 14:25:01,80,178
'2026-03-15 14:25:01,80,186
'2026-03-15 14:25:01,80,173
'2026-03-15 14:25:01,80,165
'2026-03-15 14:25:02,80,187
'2026-03-15 14:25:02,80,172
'2026-03-15 14:25:02,80,170
'2026-03-15 14:25:02,80,167
'2026-03-15 14:25:02,80,196
'2026-03-15 14:25:03,80,173
'2026-03-15 14:25:03,80,165
'2026-03-15 14:25:03,80,171
'2026-03-15 14:25:03,80,197
'2026-03-15 14:25:04,80,178
'2026-03-15 14:25:04,80,166
'2026-03-15 14:25:04,80,184
'2026-03-15 14:25:04,80,187
'2026-03-15 14:25:04,80,174
'2026-03-15 14:25:05,80,166
'2026-03-15 14:25:05,79,190
'2026-03-15 14:25:05,79,179
'2026-03-15 14:25:05,79,170
'2026-03-15 14:25:05,79,166
'2026-03-15 14:25:06,78,194
'2026-03-15 14:25:06,78,175
'2026-03-15 14:25:06,78,168
'2026-03-15 14:25:06,78,169
'2026-03-15 14:25:06,78,199
'2026-03-15 14:25:07,78,177
'2026-03-15 14:25:07,78,165
'2026-03-15 14:25:07,78,180
'2026-03-15 14:25:07,78,192
'2026-03-15 14:25:07,78,176
'2026-03-15 14:25:08,78,165
'2026-03-15 14:25:08,78,192
'2026-03-15 14:25:08,78,179
'2026-03-15 14:25:08,78,169
'2026-03-15 14:25:08,78,166
'2026-03-15 14:25:09,78,198
'2026-03-15 14:25:09,78,175
'2026-03-15 14:25:09,78,163
'2026-03-15 14:25:09,78,175
'2026-03-15 14:25:09,78,186
'2026-03-15 14:25:10,78,174
'2026-03-15 14:25:10,78,164
'2026-03-15 14:25:10,78,193
'2026-03-15 14:25:10,78,170
'2026-03-15 14:25:11,78,163
'2026-03-15 14:25:11,79,169
'2026-03-15 14:25:11,79,194
'2026-03-15 14:25:11,79,173
'2026-03-15 14:25:11,79,163
'2026-03-15 14:25:12,79,185
'2026-03-15 14:25:12,79,186
