Timestamp_Beijing,HR,GSR
'2026-03-15 14:27:48,122,119
'2026-03-15 14:27:48,121,184
'2026-03-15 14:27:48,127,133
'2026-03-15 14:27:48,127,124
'2026-03-15 14:27:48,128,154
'2026-03-15 14:27:48,122,192
'2026-03-15 14:27:48,122,148
'2026-03-15 14:27:48,122,119
'2026-03-15 14:27:48,121,184
'2026-03-15 14:27:48,127,133
'2026-03-15 14:27:48,127,124
'2026-03-15 14:27:48,128,154
'2026-03-15 14:27:50,0,125
'2026-03-15 14:27:50,0,188
'2026-03-15 14:27:50,0,153
'2026-03-15 14:27:50,0,130
'2026-03-15 14:27:50,91,128
'2026-03-15 14:27:51,91,196
'2026-03-15 14:27:51,95,153
'2026-03-15 14:27:51,95,123
'2026-03-15 14:27:51,99,161
'2026-03-15 14:27:51,99,158
'2026-03-15 14:27:52,105,149
'2026-03-15 14:27:52,105,128
'2026-03-15 14:27:52,110,192
'2026-03-15 14:27:52,117,153
'2026-03-15 14:27:52,117,136
'2026-03-15 14:27:53,123,136
'2026-03-15 14:27:53,123,204
'2026-03-15 14:27:53,131,165
'2026-03-15 14:27:53,131,129
'2026-03-15 14:27:53,138,157
'2026-03-15 14:27:54,138,193
'2026-03-15 14:27:54,148,155
'2026-03-15 14:27:54,148,119
'2026-03-15 14:27:54,157,165
'2026-03-15 14:27:54,157,174
'2026-03-15 14:27:55,160,157
'2026-03-15 14:27:55,160,138
'2026-03-15 14:27:55,155,178
'2026-03-15 14:27:55,155,162
'2026-03-15 14:27:55,154,153
'2026-03-15 14:27:56,154,139
'2026-03-15 14:27:56,153,196
'2026-03-15 14:27:56,153,155
'2026-03-15 14:27:56,153,141
'2026-03-15 14:27:57,153,139
'2026-03-15 14:27:57,151,201
'2026-03-15 14:27:57,151,172
'2026-03-15 14:27:57,151,142
'2026-03-15 14:27:57,151,144
'2026-03-15 14:27:58,150,202
'2026-03-15 14:27:58,150,167
'2026-03-15 14:27:58,150,140
'2026-03-15 14:27:58,150,143
'2026-03-15 14:27:58,149,201
'2026-03-15 14:27:59,148,167
'2026-03-15 14:27:59,148,141
'2026-03-15 14:27:59,148,143
'2026-03-15 14:27:59,148,198
'2026-03-15 14:27:59,148,161
'2026-03-15 14:28:00,148,142
'2026-03-15 14:28:00,148,145
'2026-03-15 14:28:00,147,204
'2026-03-15 14:28:00,146,168
'2026-03-15 14:28:00,146,140
'2026-03-15 14:28:01,146,144
'2026-03-15 14:28:01,145,203
'2026-03-15 14:28:01,145,176
'2026-03-15 14:28:01,145,145
'2026-03-15 14:28:01,145,146
'2026-03-15 14:28:02,131,198
'2026-03-15 14:28:02,131,175
'2026-03-15 14:28:02,131,148
'2026-03-15 14:28:02,131,146
'2026-03-15 14:28:02,120,189
'2026-03-15 14:28:03,120,176
'2026-03-15 14:28:03,120,158
'2026-03-15 14:28:03,120,147
'2026-03-15 14:28:03,109,183
'2026-03-15 14:28:04,109,172
'2026-03-15 14:28:04,109,162
'2026-03-15 14:28:04,109,146
'2026-03-15 14:28:04,103,181
'2026-03-15 14:28:04,103,198
'2026-03-15 14:28:05,103,169
'2026-03-15 14:28:05,103,147
'2026-03-15 14:28:05,95,179
'2026-03-15 14:28:05,95,208
'2026-03-15 14:28:05,95,172
'2026-03-15 14:28:06,95,148
'2026-03-15 14:28:06,90,175
'2026-03-15 14:28:06,90,202
'2026-03-15 14:28:06,90,173
'2026-03-15 14:28:06,90,149
'2026-03-15 14:28:07,84,182
'2026-03-15 14:28:07,84,181
'2026-03-15 14:28:07,84,168
'2026-03-15 14:28:07,84,149
'2026-03-15 14:28:07,80,205
'2026-03-15 14:28:08,80,171
'2026-03-15 14:28:08,80,154
'2026-03-15 14:28:08,80,152
'2026-03-15 14:28:08,76,213
'2026-03-15 14:28:08,76,179
'2026-03-15 14:28:09,76,148
'2026-03-15 14:28:09,73,150
'2026-03-15 14:28:09,73,215
'2026-03-15 14:28:09,73,174
'2026-03-15 14:28:09,73,141
'2026-03-15 14:28:10,73,148
'2026-03-15 14:28:10,73,210
'2026-03-15 14:28:10,73,171
'2026-03-15 14:28:10,73,141
'2026-03-15 14:28:10,74,172
'2026-03-15 14:28:11,74,175
'2026-03-15 14:28:11,74,159
'2026-03-15 14:28:11,74,141
'2026-03-15 14:28:11,75,195
'2026-03-15 14:28:12,75,169
'2026-03-15 14:28:12,75,146
'2026-03-15 14:28:12,75,144
'2026-03-15 14:28:12,75,202
'2026-03-15 14:28:12,75,158
'2026-03-15 14:28:13,75,136
'2026-03-15 14:28:13,75,138
'2026-03-15 14:28:13,76,199
'2026-03-15 14:28:13,76,161
'2026-03-15 14:28:13,76,139
'2026-03-15 14:28:14,76,158
'2026-03-15 14:28:14,76,170
'2026-03-15 14:28:14,76,163
'2026-03-15 14:28:14,76,143
'2026-03-15 14:28:14,77,203
'2026-03-15 14:28:15,77,170
'2026-03-15 14:28:15,81,149
'2026-03-15 14:28:15,86,167
'2026-03-15 14:28:15,86,209
'2026-03-15 14:28:15,86,166
'2026-03-15 14:28:16,86,137
'2026-03-15 14:28:16,87,195
'2026-03-15 14:28:16,87,162
'2026-03-15 14:28:16,87,137
'2026-03-15 14:28:16,88,137
'2026-03-15 14:28:17,88,195
'2026-03-15 14:28:17,88,154
'2026-03-15 14:28:17,88,127
'2026-03-15 14:28:17,88,163
'2026-03-15 14:28:17,88,154
'2026-03-15 14:28:18,88,146
'2026-03-15 14:28:18,88,133
'2026-03-15 14:28:18,89,200
'2026-03-15 14:28:18,89,159
'2026-03-15 14:28:19,89,135
'2026-03-15 14:28:19,90,166
'2026-03-15 14:28:19,90,193
'2026-03-15 14:28:19,90,163
'2026-03-15 14:28:19,90,137
'2026-03-15 14:28:20,90,199
'2026-03-15 14:28:20,90,162
'2026-03-15 14:28:20,90,141
'2026-03-15 14:28:20,90,140
'2026-03-15 14:28:20,90,200
'2026-03-15 14:28:21,90,166
'2026-03-15 14:28:21,90,136
'2026-03-15 14:28:21,91,198
'2026-03-15 14:28:21,91,159
'2026-03-15 14:28:21,91,149
'2026-03-15 14:28:22,92,189
'2026-03-15 14:28:22,92,187
'2026-03-15 14:28:22,92,155
'2026-03-15 14:28:22,93,181
'2026-03-15 14:28:22,93,190
'2026-03-15 14:28:23,93,146
'2026-03-15 14:28:23,95,164
'2026-03-15 14:28:23,95,175
'2026-03-15 14:28:23,95,135
'2026-03-15 14:28:23,96,123
'2026-03-15 14:28:24,96,199
