participant_id,timestamp,t_rel_s,level,event,question_index_global,question_index_level,question_display,selected_answer,correct_answer,is_correct,rt_ms,level_time_left_s,question_time_left_s,accuracy_pct,note
P20260315_142809,2026-03-15T14:28:58.755,0.0,1,EXPERIMENT_START,0,0,,,,,,,,,
P20260315_142809,2026-03-15T14:28:58.757,0.002,1,LEVEL_START,0,0,,,,,,120.0,,,level_1
P20260315_142809,2026-03-15T14:28:58.759,0.004,1,QUESTION_ONSET,1,1,2 - 0 = ?,,2,,,119.998,10.0,,
P20260315_142809,2026-03-15T14:29:01.936,3.181,1,RESPONSE,1,1,2 - 0 = ?,2,2,1,3177,116.82,,100.0,
P20260315_142809,2026-03-15T14:29:03.141,4.385,1,QUESTION_ONSET,2,2,4 + 3 = ?,,7,,,115.616,9.999,100.0,
P20260315_142809,2026-03-15T14:29:05.352,6.596,1,RESPONSE,2,2,4 + 3 = ?,7,7,1,2211,113.405,,100.0,
P20260315_142809,2026-03-15T14:29:06.556,7.801,1,QUESTION_ONSET,3,3,1 - 1 = ?,,0,,,112.201,9.999,100.0,
P20260315_142809,2026-03-15T14:29:08.315,9.559,1,RESPONSE,3,3,1 - 1 = ?,0,0,1,1759,110.442,,100.0,
P20260315_142809,2026-03-15T14:29:09.517,10.761,1,QUESTION_ONSET,4,4,8 - 0 = ?,,8,,,109.24,10.0,100.0,
P20260315_142809,2026-03-15T14:29:10.986,12.231,1,RESPONSE,4,4,8 - 0 = ?,8,8,1,1469,107.771,,100.0,
P20260315_142809,2026-03-15T14:29:12.200,13.445,1,QUESTION_ONSET,5,5,6 + 0 = ?,,6,,,106.556,9.999,100.0,
P20260315_142809,2026-03-15T14:29:13.599,14.843,1,RESPONSE,5,5,6 + 0 = ?,6,6,1,1398,105.158,,100.0,
P20260315_142809,2026-03-15T14:29:14.808,16.053,1,QUESTION_ONSET,6,6,3 + 1 = ?,,4,,,103.949,10.0,100.0,
P20260315_142809,2026-03-15T14:29:16.418,17.662,1,RESPONSE,6,6,3 + 1 = ?,4,4,1,1609,102.339,,100.0,
P20260315_142809,2026-03-15T14:29:17.633,18.878,1,QUESTION_ONSET,7,7,4 + 5 = ?,,9,,,101.124,9.999,100.0,
P20260315_142809,2026-03-15T14:29:18.708,19.953,1,RESPONSE,7,7,4 + 5 = ?,9,9,1,1075,100.049,,100.0,
P20260315_142809,2026-03-15T14:29:19.918,21.163,1,QUESTION_ONSET,8,8,0 + 1 = ?,,1,,,98.839,9.999,100.0,
