Timestamp,HR,GSR
'2026-03-31 15:25:30,77,224
'2026-03-31 15:25:30,77,225
'2026-03-31 15:25:30,76,223
'2026-03-31 15:25:30,76,218
'2026-03-31 15:25:30,76,215
'2026-03-31 15:25:31,76,212
'2026-03-31 15:25:31,76,212
'2026-03-31 15:25:31,76,208
'2026-03-31 15:25:31,76,208
'2026-03-31 15:25:31,77,207
'2026-03-31 15:25:32,77,207
'2026-03-31 15:25:32,77,206
'2026-03-31 15:25:32,77,208
'2026-03-31 15:25:32,78,208
'2026-03-31 15:25:33,78,208
'2026-03-31 15:25:33,78,208
'2026-03-31 15:25:33,78,209
'2026-03-31 15:25:33,78,211
'2026-03-31 15:25:33,78,211
'2026-03-31 15:25:34,78,212
'2026-03-31 15:25:34,78,214
'2026-03-31 15:25:34,78,214
'2026-03-31 15:25:34,78,213
'2026-03-31 15:25:34,78,215
'2026-03-31 15:25:35,78,216
'2026-03-31 15:25:35,78,216
'2026-03-31 15:25:35,78,216
'2026-03-31 15:25:35,79,219
'2026-03-31 15:25:35,79,220
'2026-03-31 15:25:36,79,220
'2026-03-31 15:25:36,80,221
'2026-03-31 15:25:36,80,224
'2026-03-31 15:25:36,80,222
'2026-03-31 15:25:36,80,222
'2026-03-31 15:25:37,81,223
'2026-03-31 15:25:37,81,224
'2026-03-31 15:25:37,81,223
'2026-03-31 15:25:37,81,222
'2026-03-31 15:25:37,82,224
'2026-03-31 15:25:38,82,222
'2026-03-31 15:25:38,82,220
'2026-03-31 15:25:38,82,220
'2026-03-31 15:25:38,81,223
'2026-03-31 15:25:38,81,222
'2026-03-31 15:25:39,81,220
'2026-03-31 15:25:39,81,220
'2026-03-31 15:25:39,80,222
'2026-03-31 15:25:39,80,222
'2026-03-31 15:25:39,80,221
'2026-03-31 15:25:40,80,222
'2026-03-31 15:25:40,80,223
'2026-03-31 15:25:40,80,222
'2026-03-31 15:25:40,80,221
'2026-03-31 15:25:41,80,223
'2026-03-31 15:25:41,80,223
'2026-03-31 15:25:41,80,222
'2026-03-31 15:25:41,81,222
'2026-03-31 15:25:41,81,223
'2026-03-31 15:25:42,81,222
'2026-03-31 15:25:42,81,222
'2026-03-31 15:25:42,81,223
'2026-03-31 15:25:42,81,222
'2026-03-31 15:25:42,81,222
'2026-03-31 15:25:43,81,222
'2026-03-31 15:25:43,80,223
'2026-03-31 15:25:43,80,224
'2026-03-31 15:25:43,80,223
'2026-03-31 15:25:43,80,222
'2026-03-31 15:25:44,78,223
'2026-03-31 15:25:44,78,223
'2026-03-31 15:25:44,78,223
'2026-03-31 15:25:44,78,222
'2026-03-31 15:25:44,78,224
'2026-03-31 15:25:45,78,224
'2026-03-31 15:25:45,78,223
'2026-03-31 15:25:45,78,224
'2026-03-31 15:25:45,78,224
'2026-03-31 15:25:45,78,225
'2026-03-31 15:25:46,78,224
'2026-03-31 15:25:46,79,225
'2026-03-31 15:25:46,79,225
'2026-03-31 15:25:46,79,226
'2026-03-31 15:25:46,79,224
'2026-03-31 15:25:47,79,224
'2026-03-31 15:25:47,79,226
'2026-03-31 15:25:47,79,225
'2026-03-31 15:25:47,79,225
'2026-03-31 15:25:48,78,226
'2026-03-31 15:25:48,78,227
'2026-03-31 15:25:48,78,226
'2026-03-31 15:25:48,78,225
'2026-03-31 15:25:48,76,228
'2026-03-31 15:25:49,76,227
'2026-03-31 15:25:49,76,227
'2026-03-31 15:25:49,76,225
'2026-03-31 15:25:49,75,228
'2026-03-31 15:25:49,75,228
'2026-03-31 15:25:50,75,227
'2026-03-31 15:25:50,76,226
'2026-03-31 15:25:50,76,228
'2026-03-31 15:25:50,76,228
'2026-03-31 15:25:50,76,227
'2026-03-31 15:25:51,76,228
'2026-03-31 15:25:51,76,229
'2026-03-31 15:25:51,76,229
'2026-03-31 15:25:51,76,228
'2026-03-31 15:25:51,76,229
'2026-03-31 15:25:52,76,229
'2026-03-31 15:25:52,76,229
'2026-03-31 15:25:52,77,229
'2026-03-31 15:25:52,77,229
'2026-03-31 15:25:52,77,229
'2026-03-31 15:25:53,77,229
'2026-03-31 15:25:53,76,229
'2026-03-31 15:25:53,76,229
'2026-03-31 15:25:53,76,230
'2026-03-31 15:25:53,76,229
'2026-03-31 15:25:54,76,230
'2026-03-31 15:25:54,76,230
'2026-03-31 15:25:54,76,230
'2026-03-31 15:25:54,76,229
'2026-03-31 15:25:54,76,230
'2026-03-31 15:25:55,76,231
'2026-03-31 15:25:55,76,231
